metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
Consistency,FaithfulnessEstimate,-0.13459800623922336,0.00020594384535225515,756,0.13459800623922336,True
AvgSensitivity,Monotonicity,0.13001031307246086,0.0003383728675663907,756,0.13001031307246086,True
FaithfulnessEstimate,MonotonicityCorrelation,-0.122272557174532,0.0007543445864329334,756,0.122272557174532,True
FaithfulnessEstimate,MonotonicityMetric,0.10772396186138802,0.003020419282902282,756,0.10772396186138802,True
MaxSensitivity,RelativeInputStability,0.10693871954376157,0.024717923914546813,441,0.10693871954376157,True
Monotonicity,Sufficiency,-0.10591307416605239,0.0035510379666570035,756,0.10591307416605239,True
Consistency,LocalLipschitzEstimate,-0.1042208185398596,0.004121982418501114,756,0.1042208185398596,True
MonotonicityCorrelation,Sufficiency,0.10362289724491788,0.004342796339632709,756,0.10362289724491788,True
Consistency,Sufficiency,-0.09870465777281355,0.006606121014925906,756,0.09870465777281355,True
MonotonicityCorrelation,RelativeOutputStability,0.09502476490703107,0.04636052826977971,440,0.09502476490703107,True
Faithfulness,Sufficiency,0.09495162088075078,0.008992945132322766,756,0.09495162088075078,True
AvgSensitivity,Sufficiency,-0.09441006815311521,0.00939445440295428,756,0.09441006815311521,True
AvgSensitivity,Consistency,0.0906068590817442,0.012692505459017137,756,0.0906068590817442,True
MaxSensitivity,MonotonicityCorrelation,-0.09046763550935573,0.012830592855803683,756,0.09046763550935573,True
MonotonicityCorrelation,NonSensitivity,-0.08515478204647327,0.01919357516783618,756,0.08515478204647327,True
Complexity,LocalLipschitzEstimate,-0.08450785039352901,0.02013111671514483,756,0.08450785039352901,True
Faithfulness,MonotonicityCorrelation,-0.08246651615775771,0.023355687926735116,756,0.08246651615775771,True
Faithfulness,NonSensitivity,-0.07687553328605022,0.034570114676801295,756,0.07687553328605022,True
LocalLipschitzEstimate,Sparseness,0.07392482496214271,0.04215221578129092,756,0.07392482496214271,True
Faithfulness,RelativeInputStability,-0.07223154648248088,0.12988989092333125,441,0.07223154648248088,False
NonSensitivity,RelativeInputStability,-0.0720676882441264,0.1307651360082986,441,0.0720676882441264,False
MaxSensitivity,Sufficiency,-0.06615399606601294,0.06907695652036523,756,0.06615399606601294,False
NonSensitivity,RelativeOutputStability,0.05551073682067571,0.2452407992108519,440,0.05551073682067571,False
AvgSensitivity,Sparseness,-0.05526751591453298,0.12895100934061057,756,0.05526751591453298,False
Complexity,MaxSensitivity,-0.05308506250874041,0.14478239641071855,756,0.05308506250874041,False
RelativeOutputStability,Sufficiency,-0.05253082584449686,0.27154101142141934,440,0.05253082584449686,False
Faithfulness,MonotonicityMetric,0.052394180217076744,0.1500919874249296,756,0.052394180217076744,False
MonotonicityMetric,Sufficiency,0.04323797788469296,0.23505568560733284,756,0.04323797788469296,False
MaxSensitivity,Sparseness,0.0387347303968881,0.2874800786963951,756,0.0387347303968881,False
Monotonicity,Sparseness,-0.036251350977093415,0.31952948701449974,756,0.036251350977093415,False
MonotonicityMetric,NonSensitivity,0.03528113411059667,0.33266133301826506,756,0.03528113411059667,False
AvgSensitivity,Complexity,0.034407838287759174,0.3447745467373036,756,0.034407838287759174,False
Faithfulness,LocalLipschitzEstimate,-0.02760370547463389,0.4485318311617661,756,0.02760370547463389,False
MonotonicityMetric,RelativeOutputStability,0.027288612109144367,0.5680750345159045,440,0.027288612109144367,False
Complexity,Monotonicity,0.026723224967366996,0.46314231704906533,756,0.026723224967366996,False
AvgSensitivity,FaithfulnessEstimate,0.023473203558420905,0.5192984303125053,756,0.023473203558420905,False
FaithfulnessEstimate,LocalLipschitzEstimate,0.02153414639833729,0.5543998517650853,756,0.02153414639833729,False
FaithfulnessEstimate,RelativeOutputStability,0.01842013473611157,0.7000021379570832,440,0.01842013473611157,False
MonotonicityMetric,RelativeInputStability,0.01711916424960243,0.7199628876709738,441,0.01711916424960243,False
FaithfulnessEstimate,Monotonicity,0.011579612374055262,0.7505831518605404,756,0.011579612374055262,False
FaithfulnessEstimate,MaxSensitivity,-0.010190277431693916,0.7796847021690172,756,0.010190277431693916,False
AvgSensitivity,Faithfulness,-0.00875212854663365,0.8101363317187781,756,0.00875212854663365,False
Faithfulness,MaxSensitivity,-0.006689677357483307,0.8543010484416488,756,0.006689677357483307,False
