,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,329631756.63341045,2668678253.3483624,6.81778385953735,52177751731.8137,52177751724.99591,361,42.97619047619048,479
MaxSensitivity,16.66444795744378,130.18848471367613,0.2790001258739141,1907.7353368535669,1907.456336727693,0,0.0,840
AvgSensitivity,6.869377549831294,50.62653640837189,0.0960207797632792,769.4499494293382,769.3539286495749,140,16.666666666666664,700
LocalLipschitzEstimate,4.6721333110349885,3.3059077361468066,0.1680686242181314,14.993721942458642,14.82565331824051,0,0.0,840
NonSensitivity,5.161904761904762,2.599619700889005,0.0,12.0,12.0,0,0.0,13
RelativeInputStability,0.4018432704399769,1.4554411203202497,1.5031538255212568e-05,12.094847608737126,12.09483257719887,362,43.095238095238095,478
Complexity,1.920453528703159,0.6224137363299643,0.1131199327466797,2.7543211823126073,2.6412012495659276,0,0.0,835
Faithfulness,-0.1853740431182291,0.525518446619054,-0.9999028970658632,0.987324444094085,1.9872273411599481,0,0.0,840
FaithfulnessEstimate,0.012550350202665025,0.523462854029327,-0.9971172163457032,0.9986783235732456,1.9957955399189489,0,0.0,840
Sufficiency,0.6098378134164031,0.43401518289019797,0.0,1.0,1.0,0,0.0,166
MonotonicityCorrelation,0.19542081224597047,0.3471352376566701,-0.7745098039215688,0.9338235294117648,1.7083333333333335,0,0.0,532
Consistency,0.8283965014238271,0.242984975618463,0.0158730158727639,0.999999999984127,0.9841269841113631,0,0.0,20
Sparseness,0.6221514065103196,0.17907213121231166,0.2217959034482527,0.9373043250596698,0.715508421611417,0,0.0,835
