observation,s0,s1,s2,s5,s6,s8,s9
9986,0.00511008860734765,0.016366944894740967,0.02092069054819764,0.007845242644249434,0.013503221243921745,0.00983687926113692,0.014269188300284478
10892,0.012510182999739954,0.004417848123813126,0.005424562510152633,0.017073242743557166,0.02098352746215553,0.02687581800005999,0.004142127413059017
11848,0.009637529690770676,0.03140290663545005,0.006147398585612923,0.0019153577285329724,0.019048740652961787,0.0157945973203904,0.011735625493322818
11988,0.025127631544333902,0.026339103812768317,0.02061069638851078,0.017301974536616013,0.0009139709205383857,0.01736250230926392,0.031976196171433754
17915,0.005620816918662224,0.004847884836698766,0.007964236304470887,0.004093091265609594,0.00889119475901525,0.00860523158364661,0.0013307450047700064
18809,0.013779040969517353,0.007076530663186274,0.010779764611728993,0.007951159086432234,0.007733936490731612,0.030575176031248576,0.020025339198575517
18983,0.004022996367500646,0.0057195179901991565,0.0067827514639781155,0.002165258849665766,0.01898253013501225,0.020954416689704256,0.033855217382097486
34967,0.0083316545496072,0.00585992219854917,0.0007122631688529386,0.02731666586448904,0.038666460713212523,0.006301812132530715,0.006494882196486598
47746,0.013747926911542785,0.021717298991478954,0.02954135826439161,0.0019055007958372922,0.023277335099650926,0.0319611772538081,0.01189845112608589
88162,0.012017890202033395,0.008275030714991657,0.009132037095335641,0.015834324296259285,0.009778460737201662,0.0033630609168797346,0.005031450996427147
124708,0.012701985568128493,0.03282922845114189,0.006658256459938086,0.0011368012050949224,0.01866281499963275,0.018325200019511215,0.008324126224706897
186514,0.005054079823789168,0.03639256139639759,0.0015760357258149534,0.023509982030443678,0.014299897851360906,0.008643350214875166,0.0006795495762377872
187657,0.01222948927523737,0.007582491758379648,0.0022197121969596677,0.009392076298736646,0.027285028747952043,0.007055556356749597,0.013244164356424296
189631,0.003903406736973381,0.00854674006110445,0.029395362241466355,0.002876837391246249,0.03194075778277437,0.018252501119632114,0.030727417571796638
260679,0.02487121860677863,0.011851262649023473,0.07881820068101518,0.0036648906978482853,0.006945618902184982,0.06608704478069102,0.009441940968295585
262056,0.00520056687293583,0.0034816045727830195,0.027636887487208762,0.007358059575861984,0.042393357510141096,0.003148353107585921,0.022850102457923453
272925,0.007796964711066972,0.001252818090813007,0.027073987883598834,0.001340913624679327,0.0037635027828581075,0.00997642409007305,0.011036256213010751
275569,0.0030339354832994623,0.010265440985991518,0.0038064453532880836,0.005448217721623735,0.02996593246528836,0.029559179546985056,0.021043905813632188
275668,0.0045593985972378175,0.0015951732667829463,0.000547080048878598,0.007838147602556154,0.017234379360864246,0.014127996801106497,0.0218371355984374
317592,0.006695895786036911,0.0439206177416646,0.0030666494424965896,0.007585611461764822,0.027803103517956375,0.010163769574092084,0.00894940918784046
318554,0.017284492495105698,0.010924555121193237,0.005224414295720272,9.035024482111835e-05,0.002115826617361829,0.020585652589069445,0.05184166884784887
383271,0.0013986484027074648,0.0038708741260853,0.00024284441189216914,0.002335387031199738,0.03858095398844644,0.012345106278282258,0.02498316980266124
429162,0.013695949277606303,0.009726261693457288,0.023383945703235837,0.0025208452499262176,0.02531121714811978,0.017081297611558816,0.022283396184771233
429870,0.0019131517690989348,0.0014608031377120775,0.02776386852629363,0.003316366994650806,0.002179961379396017,0.013363532006481195,0.027805083275482614
436098,0.0009435061402816181,0.005508888688239542,0.004331646717192542,0.022656468652662763,0.02842394308590963,0.026513063962385994,0.010574268116027869
447159,0.00934994507651222,0.007420451693712544,0.010544397758726828,0.007892507323941953,0.014021342010030266,0.027450334035223668,0.038495575843937285
462778,0.00453647133800184,0.021491437595757758,0.005242152401316535,0.0020325257869397155,0.005305590645433152,0.02045144884896475,0.002315214329005639
475048,0.008112577634609722,0.004246613829677428,0.0006248005006797868,0.028593331466353806,0.029849281523861227,0.007004932864116146,0.0032670665780674467
475301,0.008799843805838228,0.008819261207780841,0.006077333256837054,0.014903934936427356,0.00945807623711539,0.0030361355043737473,0.005212339193125043
475967,0.008910880701257617,0.010917512701038676,0.0032285234706575594,0.004583183042466179,0.004890329666994188,0.016106592612887494,0.0027867888971018057
499885,0.005237849117488797,0.0075871839241749605,0.0038499810189279973,0.023236553953191068,0.017186325948898448,0.02051708524477873,0.0053495188721921876
559903,0.002871608309750609,0.037313901634682824,0.005305247775310262,0.025996648727198673,0.006849891038902555,0.011756351366285856,0.0034581658071367797
562936,0.0002278434706629283,0.007149982306369596,0.019861249452351935,8.212870823765168e-05,0.03578150788792368,0.011859253627428394,0.04764034903738025
590791,0.0048153410354918776,0.01858406438454241,0.0017697170592676657,0.00010470589960008305,0.048091332767578925,0.007052399415259976,0.00212817971984503
624023,0.003529205325928742,0.0016819493061264186,0.005127944132575464,0.0253648358902993,0.005964726315801931,0.007309999341617841,0.002303946152720702
631816,0.017079975298900575,0.0067124674378877145,0.007993512645241932,0.016881433567010034,8.777616415926141e-06,0.012677515169991016,0.03651016358606793
644081,0.009408325423468925,0.00738943619371514,0.0029171894288358177,0.011559647047441852,0.006432310981411988,0.009711467100931796,0.005656583957799556
645769,0.005229538953188128,0.004372232866582667,0.002866677688462845,0.004501724193129153,0.02760043831190866,0.014761784647231959,0.007473095363830015
741693,0.00906349453701318,0.0005397481936378469,0.00506479692551642,0.0011830454229771244,0.024129701437345556,0.025965379134018942,0.002569503760829001
741832,0.0024817160899462793,0.029431279550941453,0.0009951391281117455,0.007133244285432448,0.021702940191826715,0.014757702185777056,0.004336889956762707
