,s0,s1,s2,s5,s6,s8,s9
11917,-0.015950990005266407,0.026353725283860336,-0.04510595112709371,-0.025689286907023448,-0.004677943450764491,-0.028383240690726393,0.058719086678441876
11918,-0.06655828731106724,0.026113080360488126,-0.043516059532305876,0.0019931652802023287,-0.006054455323629742,-0.026079246430033995,-0.02716655217131093
11923,-0.019349015025250046,0.021602487152989364,-0.011007801488909846,0.012282018121252989,0.0006566673872640084,0.02537575394907439,-0.001486298781168645
11935,0.09982346762203179,-0.014076279724027937,-0.005089112852706941,-0.03309886621047971,-0.010436514611600821,0.019647122807623388,0.04621403962125849
18918,-0.01593293987475513,0.024451009423215733,-0.002994679902034946,-0.005907918635325607,-0.002529897100785794,0.024735723550353955,-0.014279484017235193
18919,-0.017297342225413487,0.033242121478169864,-0.04633640567036611,0.04537790014873468,-0.008803611446468202,-0.021987092607527577,0.05036911192423563
18923,-0.013598257753624627,0.034092200546820904,-0.018424408964067378,0.03863511668938761,-0.011497091946793528,0.026155100423293207,0.04484592348451305
18958,0.09443956704747797,-0.013124442997365995,-0.035018071982414745,0.04596674677492659,-0.009098247943348126,-0.019816616869548526,0.050517707659398024
20951,-0.07155242995704224,0.029448299697935696,-0.04992185428222238,0.011216072362341843,-0.007263263106766566,-0.024940902577938406,-0.024091597778877122
20985,0.11712170967914261,-0.002355927214755558,0.002124779318224669,-0.022740985835005695,-0.009003870498096794,0.027007313514504423,0.04883556409822649
35867,-0.07019088609593419,0.0335976573589508,-0.048253371555924816,-0.030109986879933513,0.0717678425261658,-0.026118318722187114,-0.01962196252111707
35906,0.10543306287779448,0.00029908326455725735,-0.04279196858778642,0.042976661654478075,-0.003403586604740275,0.010244017155882329,0.044947801568232706
35911,-0.019182572506300847,-0.013525986962773288,-0.03506997393239904,-0.02534219262520611,-0.006628828304480571,-0.0010975243989884698,0.04899402099595224
35919,-0.01120948112495337,0.005402201411903656,-0.04067980285890299,-0.0261740448255406,0.003950724518206583,-0.01337411196306757,-0.02123174610924413
45782,0.10347183009985574,0.0007482640603075408,-0.005158143446065503,-0.028652795484979197,-0.003738048869183799,-0.027782816389516646,0.046723986084819445
46809,-0.0703054101820038,0.03328883996367218,-0.0411430769899529,-0.025501886685495394,-0.03332507236145778,-0.025926858986541117,0.0007316261429575107
271817,0.10478917163248849,0.02398976146111673,-0.0008084144361605917,0.042256042389318696,0.06719360146858107,0.03552435178996322,0.04535432275012106
272818,0.0997517494177692,0.022947436093346638,0.002726576797825376,0.05587309728306896,0.06476316156006313,0.021102976955658763,0.043749244986984355
307641,-0.01801111528670751,-0.012597518550230134,-0.04381304836382041,-0.0323985648968524,0.06547219770706651,-0.0070261294599054894,0.0026261029626472644
308756,0.10383447769579181,0.005147657804847843,-0.0010909132632801403,-0.0006474767141061329,0.06878867853553922,0.031879948360115366,0.048961793816125275
309757,-0.02213872974878992,0.021893403514218354,0.006145223246761076,-0.0013523289793665335,0.07019963769993101,0.019656035205251412,0.05342193019932682
310719,-0.06168487538053448,0.028334492088899488,-0.010104788030177858,-0.024724146048704657,0.0020388991390946102,0.013465842667544524,0.03498324059340966
316611,0.09587441648292083,0.027944457137542386,-0.007608986051189615,0.05099120859777411,-0.010024179119797395,0.026496155915582163,0.04787395685503289
317394,-0.015098789165869117,0.007793306774233353,0.08360703704985509,-0.022150364410546793,0.061021704968453654,0.023098451734287886,0.04435064290008265
317615,-0.013630079427740112,-0.0027652837828068214,-0.002575295227261528,0.04857143834614438,0.07171891292488841,0.02113690905531669,0.05439342491110518
318513,0.10563305599290242,-0.029452579496232183,-0.006878321850169318,-0.02959401564123902,-0.007855070485995388,0.020600917787777565,0.04521017531103928
318558,-0.01197175447323352,0.02520584876497892,-0.007387903504747395,0.049554137981839615,0.06433116260267174,0.028249413621518643,0.04826218686786652
340538,-0.022572044407825453,-0.010820095931260052,-0.036999502393482445,-0.008855942711173782,-0.01074330471646355,-0.012106635189440088,-0.031024883697874622
385204,-0.06935423397405033,0.0248162380356801,-0.04277778009968655,0.014104331636607318,-0.0014379896699542604,0.027422199267565464,-0.028235990104064204
385205,-0.01060258315999276,0.028007038172954378,0.0015032821475573336,-0.022394021400330266,-0.016702059091224207,0.01732915923978375,0.04797061426782871
385346,-0.06896628042196008,-0.020978418569423937,-0.04051129718062565,-0.022324867390267105,-0.039781954277674995,-0.006745425727285167,-0.020266238500960626
385508,0.09731072096785387,0.025033923275034523,0.08365235986431975,-0.03630791206884878,-0.031846639763034916,-0.03035065717236462,-0.03323575917322645
385527,-0.016909826631955904,-0.012787962017719697,-0.04472489835117007,0.0043664707724023685,-0.03675445846729575,0.0014101563082124433,-0.02260547317152528
385564,0.08655553845921117,0.02464930146400201,0.08708002964606867,-0.027038961676582846,-0.026004470277222698,-0.020088864440442316,-0.025964232820935785
390947,0.08942757353344247,0.023433709160512576,0.08411656966553197,-0.030379368938973004,0.06093608453290479,-0.028372430064129178,-0.0025931939061705996
392256,0.09988723132527388,-0.019454023532681126,0.00092389120769013,-0.02789080609610981,0.0005277793700498058,0.02974001293294049,0.05144735623260087
429198,0.10057165569174464,-0.008687416051753823,-0.005272145747682133,-0.0255932088908098,-0.011993259964622277,0.01011956270585504,0.05435326137500975
430125,-0.017870327479554412,0.020377474827263653,0.08755505956959356,0.05103706980137452,0.06365010896463283,0.010381960419663527,0.051073147186387
432034,-0.056752048906869954,-0.005976621298820775,0.08987173837037706,-0.02487643465476914,0.07621950544352503,0.013092674845616693,0.05177396707957269
434986,0.09503136216934967,-0.019107797444972686,0.07875982173080436,-0.022531946610728618,0.06475468966395763,0.026765001146047334,0.04897523711701015
435209,0.11054010953967096,-0.0033144087017189234,-0.0017722639514598597,0.0057868052040754925,0.06641290594461009,0.022464153170994074,0.04739368201007043
438222,-0.06860641924686735,-0.0030470170255610554,-0.04575414155954204,0.04381274712958876,0.06948197885210038,0.008376908019863764,0.05478014038410293
438253,0.10954828219638194,-0.0014403589021408255,0.0020363659375654563,0.0062196293768838565,0.06912997571063229,0.024231876256847338,0.052869747454443804
446138,-0.06848522214435604,-0.004668057438475255,-0.04397270040370559,-0.030166904466370707,0.0730699513849753,0.015426397842521459,-0.007791657702809179
446140,-0.014255892631819561,-0.0004810005501150303,-0.05398043837351052,-0.02756726025535607,-0.033214290372991326,0.023623072774536322,-0.022809914841266064
446257,-0.06965172601084339,0.027699739703325215,-0.03484806472267058,0.012040128320864877,-0.001288957639876115,0.02565007178285841,0.05405485104614372
446395,-0.017124991135745744,-0.0036758399717744393,-0.007369205694965812,-0.026331733009921025,0.0751683509907621,-0.02015057495503708,-0.012119720280837677
446396,-0.0685696203440659,-0.01503151949711823,-0.036845092075306424,0.045888265078600866,-0.03466729000887807,0.0030141095496093394,-0.03719518501343628
447164,0.10373426052174252,-0.005381887781149231,-0.012619378082046566,-0.03051358415605094,-0.005586599433875637,0.021640311787344924,0.048398562932358564
447197,-0.019662401014014515,-0.016159846338195324,0.004293262705760651,0.002660491066966981,0.06947154619392112,-0.0034041559217910036,0.050250935677132284
447200,-0.07068196941888079,0.0054274153741493145,-0.0006453451778525899,-0.03763303859176429,0.07306998552932818,-0.02242674881951233,0.05160906011944133
513409,-0.019221698058172247,-0.015159613507991696,-0.04847513267674336,-0.026666687011171607,-0.03966116709196589,-0.01380342379809405,-0.023738600200511443
513454,-0.06376841804514075,-0.012138308151310452,-0.048873530219471904,-0.02233366148822054,-0.040484111786875325,0.010032896114008746,-0.03521903358671345
513579,0.09595097056316902,0.02352579644846428,0.08143139910581618,0.0009622936111193256,-0.037861345691502804,0.002009930661509894,-0.017532234126118217
513775,0.08961142621855106,-0.016351887369806434,0.08718894856559631,-0.02277793370229881,0.05849899346765106,-0.019677404925533225,-0.030919666801872917
513792,-0.022619980405787738,-0.0051403249135520785,-0.055410878515131316,0.011665117912291344,0.0025427179055219733,0.014167870449157849,-0.023342781742719455
513839,-0.02506078123231353,0.008150500243293996,-0.045463791072108344,0.037363658949844225,-0.007386590664921253,-0.025063630781227045,0.05950632993204387
590810,0.10841205472010883,0.00044866589805266717,-0.004316893043781157,-0.02512088748690088,0.001522953301631034,-0.024834699833694567,0.04809407544793489
591850,0.09959421688978988,-0.01388058643957471,-0.005622665626990406,-0.027257839745027906,-0.005870857270490745,0.022843822968243416,0.049828048957981264
593773,0.10211311213439811,-0.011174228348787767,-0.00833552758069679,0.044892287029256205,-0.0013426843810638027,0.02559100447943069,0.050459369803613915
593815,0.11144140609888203,-0.002160866804924358,-0.006708313837769099,-0.03710228550146381,0.005711302139934088,0.02887542062146793,0.05500325510360671
593866,0.1026735694814943,0.0095009393369179,0.0008716732398158397,-0.005125901424257734,0.07462958031597604,0.029449525042823232,0.056218311628082905
631799,-0.0699378689401994,0.0289999188298779,-0.04935745236342231,0.04681767017163555,0.06758810503122374,0.010839833104067362,0.06404452951279915
631816,0.10347347727833722,-0.0018282184710472719,-0.0012948815334071853,-0.0350785943961375,-0.03346287270014725,0.02841580386882694,0.05288428865645329
631822,0.09731106580678127,-0.019264514972408907,-0.006810142209163347,0.05002462415919487,-0.00971570366249306,-0.009095155515835078,0.05079018589162668
646702,-0.01709511298996894,0.004674645444429607,-0.036847064027759543,-0.026413685927561575,0.06124650230464684,0.009257336280384092,-0.006131856467066706
647568,-0.023216217004928794,-0.002964902775677868,-0.002373244766646391,-0.023643064120550606,-0.006105987828873665,-0.006739499694045048,-0.016799300078451408
647859,0.11240611316352028,0.023561319927523854,-0.01857827336136718,0.045490113255157026,-0.00719825515001334,0.0303038105271472,0.0405540070173451
695797,-0.012485656611343703,0.01943136814559304,-0.04092151634754304,-0.03003891342460765,-0.007785344132835511,0.012790705377648686,0.05174396141313547
