observation,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
9594,0.012467270338760184,0.0002792013412042993,0.009111056734643592,0.011750257716333196,0.014951533464841784,0.012859592813955394,0.017592688776360898,0.0023766971503152118,0.0044807911506290835,0.023667771068136088,0.008178317559245982,0.0037583479734676945,0.05324340496944704,0.0041381987708481015,0.03823589253568147,0.0007370959846389902,0.0018408753023294708
10158,0.006562413149575809,0.029046062779659255,0.0015572334679548009,0.009624498534656547,0.003075737435690331,0.014994074338502804,0.0042227406164548455,0.006278605965946634,0.012001095698686817,0.004831253895671324,0.00825770370688713,0.01627926835454356,0.014789156276193519,0.006163269671300911,0.01605551233265171,0.0005316541156425636,0.0018038970110195462
10169,0.0036520849005060797,0.01040393621069068,0.003083425596015644,0.010725606508077192,0.002508207232434208,0.015947564947802525,0.006445802775451566,0.006052111753953466,0.009342628139887389,0.002069651718345352,0.010310541122697558,0.01371083624811158,0.029401890891834336,0.005274056834136722,0.015706488967472915,0.0006291742674549973,0.001676681372929164
29998,0.03857179992439746,0.0014682015154898545,0.01632949439047366,0.017770738331032886,0.005805609155503009,0.012457393891038027,0.024537319651443474,0.0009472664490536113,0.0003995819120189061,0.001258607046467636,0.01291361876971348,0.00127106119449822,0.0002591117645082034,0.062301524842772495,0.00158805017175735,0.0011016303256027398,0.0011238498398529477
31097,0.031439179315612326,0.0017177861885277115,0.01794473180874286,0.023791535629299053,0.0048048357974842665,0.0009627732402165279,0.023865782827032455,0.00408698429417116,0.0038524266958584615,0.040766752971612766,0.004870604294349531,0.0007341104656148065,0.0005044791094073588,0.003275071913902903,0.00045091404958537293,0.0009590293486198521,0.0019082300412729017
35229,0.008326456075235385,0.0004294081364791677,0.012368385790025386,0.011062065352666055,0.009787802924221592,0.003733096358016073,0.010707362304162275,0.010351082934554778,0.0020353549224790173,0.02849022519345751,0.003605418923411974,0.005071759220866406,0.001274904840055478,0.024837647460336853,0.0005530908086473958,0.032492415782681965,0.02847121776879571
39195,0.006952900605348452,0.014230147115140009,0.02311257891937809,0.011001992449793328,0.000604395066591195,0.014195881833260784,0.008661754890774118,0.0059066413229712,0.006072547598628295,0.004024811193709694,0.009832618971852804,0.005909363663708668,0.027584046953718116,0.00436254132761789,0.022463192173347694,0.00019612897879340126,0.0019824600787848546
54649,0.029811991982256567,0.00034277430167369303,0.019680044305661903,0.0036194771604413376,0.020813169901988508,0.011380060299592683,0.0028551943840477165,0.0032726345734180326,0.025715840882029457,0.0023945687328203844,0.008742957976606017,0.00865996833003045,0.06515148551687427,0.0027492598176578503,0.0342659699583427,0.001141384688396836,0.0016301166748387103
59827,0.010070199195512075,0.0434378969236923,0.019212344598645088,0.0030922870004816685,0.009225415256661281,0.00607992933884324,0.0049108009860423015,0.0056011330928714435,0.00043444135687573413,0.013483458273602523,0.006133406331680453,0.0007310861889641607,0.02410985041721724,0.0025082748394984786,0.0230437758040813,0.00036996920778583194,0.0011664202784036507
64423,0.005984234944050481,0.015562788182748522,0.02244807156031996,0.002826313186762832,0.0007254299595260727,0.00969861290302121,0.0009103887738402974,0.007268268612475095,0.01339494322873792,0.02916750276409693,0.0018213854312606578,0.0028022754198570787,0.03351583252599709,0.0035085541165792975,0.026465922340269715,0.00032708435458150977,0.0016174024997163384
64738,0.010865010171734284,0.046748297493628854,0.022532878504135163,0.00506003124389002,0.008278087827362989,0.007605151629620292,0.0057202196854638735,0.006127086892045601,0.004789819973879265,0.01355764893578133,0.006526944042367226,0.0003735027778588203,0.024305911875130214,0.003379110459650243,0.025181766857195396,0.00044057089619730744,0.0007025411186768082
77168,0.0018200641034717064,0.001833923094788112,0.02868698768762082,0.00372074710599998,0.009992809343205426,0.022592054362566224,0.003492720762527541,0.014777269809302397,0.0032906545867543435,0.005152615041946145,0.009593744948741592,0.00048495377589340523,0.0025790627776515512,0.007458486611965655,0.0016684497035604645,0.001437415952173289,0.0019421027444644155
81707,0.0014502343693532525,0.00017442612814288087,0.013535981917825719,0.0010989901135920218,0.02152444492701256,0.00560686151312363,0.0024899377355501275,0.013525776969097026,0.019050395450023055,0.030645299288373312,0.01499796661905009,0.005845168851863289,0.000378693947296544,0.01906074614321363,0.0007779180242063027,0.026336215499314284,0.04528793820690845
81710,0.009641458084173982,0.00015106500112404365,0.014340334710645192,4.854003556477255e-05,0.02036046797164679,0.0032926896592994437,0.0029730915695229537,0.015634722447425416,0.03442901984114476,0.03274416312788127,0.015597760209089567,0.003470493165587419,0.0004098047147288091,0.02048574121260414,0.00021117083230481011,0.03184884038602052,0.04316568628463998
81715,0.010399829968447852,0.00031718871642354103,0.015072917557874746,0.001088220567698105,0.02364151486454638,0.004652819780633871,0.001104453920139341,0.01892393364659205,0.03436425701149306,0.03459307720246904,0.014424943508917643,0.008045123472616022,0.00045734830458499026,0.011446840837429093,6.0087301100041814e-05,0.025384637667383542,0.046450030643382226
81731,0.007381578496735868,0.0006413758758913059,0.014353512075506985,0.00025475598254612395,0.021131141624423033,0.005645028751070814,0.005998966250720798,0.019132049199512696,0.03364301847640377,0.001246302946976458,0.01646418017496221,0.0032756972356678417,7.614825801124348e-05,0.017807934693625384,0.0021026071362260416,0.03667410011600137,0.05297846854278159
102422,0.009660769562760333,0.0008274080332392367,0.005079127598371311,0.00042752691919909516,0.005979552635765467,0.06630433250093525,0.00015902159226231435,0.0044727757011159735,0.0033401553634771685,0.0003927618686090237,0.004369411192810882,0.004108502577661862,0.00032144097305597384,0.02107413470592619,0.0005854753619548946,0.03656228157760503,0.022547252978622208
102427,0.01052398269258471,0.0008723582512055998,0.004103316522198226,0.0015281749478817856,0.0054370880186181735,0.064657476655115,0.00022974435964026374,0.00406411248304125,0.004752291374290652,0.00014852580493755237,0.0008667452589111421,0.0018178911541596114,0.000392344506705394,0.024808029979797024,0.0010550769520249578,0.04323263541438398,0.016993470306430804
105251,0.0004002403958313683,0.0012473475806397617,0.009806301053167321,0.006410595992322937,0.004753864046833161,0.012166058390780434,0.005455882806482406,0.00878982060240406,0.003659707252996866,0.0036710711080715636,0.01900511420815672,0.0012513900805319667,0.001107317554919643,0.002240616993104049,0.0028677051939133952,0.0012807607481396237,0.0013764555830114225
107197,0.0005217887536252899,0.0011997364224501535,0.009659546021067038,0.006698954054291528,0.005161922065295464,0.013187706622972367,0.004485529432571825,0.008455139458873518,0.0038618262243134125,0.004127535185359008,0.013397969744827798,0.001135793532273687,0.0012237293239734746,0.0022654761880392346,0.002848346379638015,0.0008680071268513954,0.0013579800203300382
115282,0.0003238791511741336,0.0011728629687829096,0.009125636101684107,0.006106966915880712,0.004983847751655454,0.01378507037519951,0.005236244970520389,0.007804181074431223,0.004957971757178803,0.0036312114816907117,0.0036271269252997032,0.001276518685625823,0.0012521167996604233,0.004621137781528173,0.002471379567560279,0.00127268586219661,0.001322817046956439
117330,0.0012035628678134544,0.0011498237488920492,0.0059706272167604855,0.0030753497519963456,0.004605473269749735,0.01199635962947106,0.004559163631773662,0.006558447310799044,0.005162238644152465,0.0027287007387515904,0.007068059761878223,0.0014451311437331353,0.0003355737751786327,0.07281770241538861,0.0021970846732829795,0.0007084472537015411,0.0007408735902275687
159797,0.019122680195744625,0.058208648436531556,0.02406933900113607,0.004232444830017536,0.01201540920828444,0.0060949967957766955,0.017065675622136612,0.01469672676743219,0.013548025580590258,0.02992367382404994,0.0019030484636917723,0.013277064534302649,0.03715459623771335,0.00280446599463191,0.028685579793339997,0.0001903034577945087,0.0002510007724491409
165864,0.009447267855094841,0.03111768778352478,0.02104675953557748,0.0031311164766087236,0.02509672397341788,0.026891180020599304,0.011251599866475141,0.0014194407935000843,0.0004277547300566018,0.012147798565203566,0.005212473652005318,0.0028945450638224396,0.035225882008845674,0.0030040354882415717,0.03720139608782504,0.0008614748312514645,0.0015903783769745199
169889,0.001512443311574807,0.03141520635020586,0.016878763273501223,0.0021814898599333945,0.02930965198477245,0.005119366811474721,0.0058953618662795455,0.0011441490065103627,0.0034081634277533545,0.010867765715528279,0.004493680087834134,0.0031209172961959805,0.02483929268343957,0.07280400490236935,0.020805910750016244,0.0005937745609766929,0.00045900867581332095
