,s0,s1,s2,s5,s6,s8,s9
11914,-0.02430630395088966,0.029289772095859368,-0.038602484477107964,0.019783036756043672,0.03624871548546136,-0.022876802685138295,-0.041038987302405114
11917,-0.023156726713834046,0.0283296980098672,-0.035227261050440384,0.018134890027158058,0.03295030504239709,-0.024550707965024374,0.04903168263461294
11918,-0.021459215415850184,0.027865398478962196,-0.03639436562375921,-0.025154087547750777,0.035489552894949566,-0.023547675316217733,-0.037856155462246466
11923,-0.021866874574104134,0.02807416712928571,0.03796721327500977,-0.026341417548445132,0.03449896537982009,0.023448591658056954,0.03158488158666004
11930,0.023955326796497083,-0.02318697639618216,0.039189654716872545,0.02502639954748442,0.03201642184735139,0.023333471356035987,0.05332450474761087
17866,-0.02717820714881269,0.03115835268436491,-0.0341343632039104,0.022505200758103302,0.03547963947719914,-0.021842851728901828,-0.03977889195828003
18919,-0.021934224535745752,0.028045446476489606,-0.03277668949690517,0.023330880695997206,0.03547633199320529,-0.017595306526797885,0.052600940136076996
18923,-0.021108667056630784,0.02667732493961925,0.039086666209547316,0.024694713659438365,0.035861922948359506,0.02174599600913747,0.052055985445475406
18954,0.024597656055475217,0.02149958483442818,0.03374195320327879,0.017414863671086186,0.033732877547711045,0.025776197538009218,0.053730329792678125
18958,0.024113555458393412,-0.024630605676578977,-0.030945562666859383,0.02440501842400616,0.03511746150134812,-0.0216956383111376,0.04826284938141036
20951,-0.02627575283580598,0.03042134240050184,-0.03786438088360866,-0.022794597384560796,0.03546847526343346,-0.020078397726262368,-0.04060526163189911
21994,0.024243866038511624,-0.025843076681032886,0.038854020758554625,-0.022560140929227254,0.036111176404690755,0.026000104157075196,0.05012882245192798
35906,0.02121748759875202,0.0179979340960301,-0.035503664548700686,0.023361905338439147,0.03596800139864638,0.023883772312495558,0.051647664044802755
35911,-0.023714655392845712,-0.027117386088680587,-0.035060129031897924,-0.023270886260914843,0.0360931725007772,-0.028890990424483242,0.05269538125934833
35919,-0.02406301301899261,0.021811279086178435,-0.031173905869379986,0.024869842726308967,0.0355747156696287,-0.02221287588140309,-0.042002485510701244
45726,0.02084736496816376,0.02961033746090545,-0.03838930393346414,0.02435819412991077,0.03493127033453459,-0.02245047216111311,0.050939775291835444
45782,0.022323274361450113,0.0206188156793479,0.03570262788172069,0.019318711769772786,0.029399777874064333,-0.02430194555954573,0.05246994057986879
271817,0.022512737500138682,0.027286710049147768,0.03488189762806498,0.024622602705706622,0.03747567683568309,0.023264714137841085,0.04924223696115334
272839,0.02181170745445877,-0.024569324424089337,0.036205511632408816,0.022349867255845528,0.034968739671036426,0.022170275390351782,0.05267542852725134
273477,0.02317628384142584,0.029206379234798362,0.03818083020663062,0.021038137581229816,0.03546252196535121,0.022040870887414445,-0.035305648113268806
307641,-0.020941563122583075,-0.023286495565139616,-0.03663289834769022,-0.022732929448218923,0.04026387137840772,-0.02554029885127313,0.027985227103344962
308756,0.02322043439302261,0.02096117917473406,0.03875889599389539,-0.02305586801336308,0.036184841508370195,0.02498792318253155,0.050976365537290354
309757,-0.021540013537541362,0.027066996290330842,0.033150938164197945,-0.02279734851505847,0.03643741971141842,0.02642312489630117,0.052019028960805284
310719,-0.021095675364057355,0.03177180233590148,0.03508263453998411,-0.02389697768175936,0.03457770579056217,0.02634662970640218,0.05119586760212314
316611,0.021297799675289296,0.028974722104108754,0.03913699441648011,0.024536960738873625,0.03448662339932567,0.027950491456352596,0.05245381926305706
318513,0.022948225089724245,-0.02701938445406908,0.037288998654749675,-0.021018210383480417,0.034241245226811025,0.02432880779004975,0.05206720979181393
318553,0.024699244511780166,0.023946401812052036,0.0371740959556777,0.021150452014986422,0.03400841199437543,0.026455934435141264,0.04496552881436111
318558,-0.0212309898361807,0.028502184449576806,0.03852819833187203,0.02489495003193898,0.03681802377577665,0.025566037668303822,0.05168639628278398
340539,-0.025569255258946787,-0.02579854294563748,-0.034445344069371844,0.019039013294621373,0.037625322870344986,0.020581101835050103,0.05340133378787751
385204,-0.024099048924998426,0.02798953196634441,-0.034920088823984924,-0.019553090942378188,0.03243843409795156,0.02423292636793906,-0.03900201614039041
385310,0.021590029789660698,0.026941844516699703,0.02958075437549715,-0.021651072100923704,-0.03311056731988302,-0.02461738169285909,-0.03962664604745238
385331,0.02249655347396738,0.03015266579949323,0.03060945773067397,-0.024175359423244988,-0.03896580761850728,-0.024237883776951307,-0.040875301846852743
385508,0.025576383236610333,0.02910693231769812,0.034578834177970925,-0.023386118389934762,-0.034202007885353373,-0.023004104494094717,-0.03630515253458396
385527,-0.019290048250027145,-0.023791548397579024,-0.030344542523457405,-0.02712337419607752,-0.034418047570921075,-0.024266116778251745,-0.03877794885735143
385564,0.02473801517657543,0.02943481444512333,0.030601914740832827,-0.02115853360451895,-0.035938132874957694,-0.02178333031057994,-0.03933985289532941
391560,0.020996337006823493,0.028322200985373816,0.036667467021474595,-0.022509348564587597,0.03366572649876577,0.025860470165251365,0.05126368270321766
392256,0.024642948495829382,-0.027017699804697943,0.038875729113136,-0.020226952738900104,0.03352091115762573,0.02640999615651799,0.05477100094137925
428153,-0.020600642668840322,0.029745870619022983,0.0385795363315169,0.021836886311580792,-0.03529913257592051,-0.02238709303125184,0.05436389761409804
429198,0.023624790133908138,0.021524224231396,0.038763561352797696,-0.018786143596095012,0.0353438956170946,0.024918157653919065,0.05177443576839962
432034,-0.025336555822324473,0.015857588510147715,0.030789207732436912,-0.02141350393655355,0.039040944239673185,0.024998603801089512,0.049031198014338556
434986,0.02383794266504164,-0.02586678820340818,0.03472348118459279,0.02392581228086981,0.03800536322459132,0.02136575774807236,0.05024358645237516
435209,0.02373045000407596,0.02129363828888964,0.03930275415336183,-0.02374794226612802,0.040164049904952155,0.022843099864271642,0.05217773441405546
438253,0.023985457929827286,0.02100073490138001,0.03783697996360726,-0.022128836516029895,0.03634866722753917,0.026441325077347397,0.04949093181288207
438254,0.02508888893452969,0.02126079778516814,0.040341470961121485,-0.021682199975254376,0.03955629006874517,0.02119064367996372,0.0490121554635586
446138,-0.02306696832625804,0.01855519146517746,-0.03702621039267899,0.023689251451436823,0.0372188611584367,0.026975825700112165,0.027040725965993738
446201,-0.022878488937845453,0.031378120781732306,0.03936314313573353,0.021441014378590004,0.035463614467177766,0.02454950794986867,0.053349550660279375
446243,0.019692533710513632,-0.02641201869807785,-0.03573205149814702,-0.018311175548040418,0.035639736100464545,0.025874412771772378,-0.040981322907978804
446395,0.02210697078798933,0.019378347449285602,0.03742430824515609,-0.022508635411375977,0.038620843132084234,-0.021892283825011776,0.02515704722103276
446396,-0.019950000448876296,-0.023935013552237098,-0.03750268343672565,0.02231747859206283,-0.036454431214027305,0.019938009522028743,-0.03956863898683962
447164,0.023827083566127356,0.020766447589259687,0.035468880642391176,0.018658096795737968,0.033446853936086145,0.028106941443244205,0.05228119639989292
447197,-0.0209529538878512,-0.024796923743419734,0.036646315375143734,-0.020961250348489988,0.038715047517506276,-0.02526731810838079,0.05143815760045724
