timestamp,TP2,TP3,DV_pressure,Oil_temperature,Motor_current,Towers,LPS,Pressure_switch,Oil_level,Caudal_impulses
2020-07-16 18:00:00,-0.0003830217705798524,-0.00255388071323157,-0.00639023067641534,0.0031005974731433844,0.0007452051366866009,-0.0023573239779601705,-1.019203977875332e-19,0.0,0.0,-0.0007550682408257993
2020-07-17 01:30:00,0.004561999549697322,0.2038655590495462,-0.004343024514004495,0.0023283465144916834,-0.00783255533477922,0.025525148452168096,-4.771028916325798e-20,0.0,0.0,-0.000813402984082201
2020-07-17 02:30:00,0.004561999549697322,0.2038655590495462,-0.004343024514004495,0.0023283465144916834,-0.00783255533477922,0.025525148452168096,-4.771028916325798e-20,0.0,0.0,-0.000813402984082201
2020-07-17 03:30:00,0.004561999549697322,0.2038655590495462,-0.004343024514004495,0.0023283465144916834,-0.00783255533477922,0.025525148452168096,-4.771028916325798e-20,0.0,0.0,-0.000813402984082201
2020-07-17 04:30:00,0.004561999549697322,0.2038655590495462,-0.004343024514004495,0.0023283465144916834,-0.00783255533477922,0.025525148452168096,-4.771028916325798e-20,0.0,0.0,-0.000813402984082201
2020-07-17 05:00:00,-0.008291976011205456,0.04668165942861108,-0.004727731745262653,0.006147220496111481,0.00988658609522537,0.020919056148244894,3.660699149713516e-19,0.0,0.0,-0.0008063468375595225
2020-07-17 05:30:00,-0.003911303761325809,0.04251823125670952,-0.004893933562616102,0.008265581606737155,0.009346001447560958,-0.0018176234090336338,4.9802099085600435e-19,0.0,0.0,-0.0007906126957857624
2020-07-21 22:00:00,0.0002511591974165607,-0.0011365247197047046,-0.006386705258099376,5.7678520679418186e-05,0.00044363311475372147,0.026393926358848838,7.715198255721382e-19,1.2578304832285153e-20,6.678841345656037e-20,0.011187683783633474
2020-07-22 10:00:00,-0.0008055182699453235,-0.00024135819899524127,-0.006733713632538588,0.00019079823709829485,1.0112570464592206e-05,-0.0023781325694141394,-2.505313396302727e-20,0.0,2.915697466124795e-20,0.010647728322958884
2020-07-24 09:00:00,-2.7546044815491633e-05,-0.0024254208362264854,-0.006612459699873407,-0.0005449224170398847,0.0019348843109418797,-0.002376600239883965,2.199191918152815e-20,0.0,0.0,-0.0008017281580039186
