,s0,s1,s2,s5,s6,s8,s9
11917,-0.06107787390045438,0.11156010456046977,-0.07414436757970067,-0.009643810097007877,0.28607100697893023,-0.005996825067053124,-0.055803364448216264
11918,-0.04320174361896212,0.26180689869375406,-0.07632890947765886,-0.006735037380064424,0.11181282549561367,0.0049308300545982675,-0.044828597732542386
11923,-0.01539989107847739,-0.0034154829442462065,-0.07949550702878372,-0.010945681077277725,0.28417552046324845,0.0997520667685955,0.017930296694208536
11935,-0.04723988510718813,-0.09542645629511276,-0.1380685856927395,-0.017093375397590094,0.15805061403232734,0.0018176471502969749,0.3463100202806205
18918,-0.033702357202950006,-0.010630934059682517,-0.08548349864392002,-0.010540943890444243,0.28336088435791307,0.10526692813093708,0.002127571384234639
18919,-0.02438000527345574,0.09291914567711329,-0.06445150216081813,0.044054936581406245,0.32590194681425183,-0.03736141708703,-0.05648295502536682
18923,-0.06041409610475723,-0.10089436850678624,-0.13271583246671925,-0.0004661999832135666,0.40073888505592226,0.01899802599471645,0.06568122311899782
18958,0.03641972936854354,-0.03115386532186848,-0.08538396414584964,0.05433319992773322,0.3899493891980157,-0.05070324013452859,-0.038204523391361156
20951,-0.04537723931457044,0.27396007892155566,-0.07933852339108188,-0.0018564186411019756,0.10738048015851948,-0.00846829505179425,-0.04427028876413469
20985,0.07929464039989886,-0.13102370753016118,-0.07537448453222217,-0.023391204900968854,-0.06662602398600492,0.03932291920040765,0.4148816691878209
35867,0.0842103199680651,0.20832083768497872,-0.0291796603563777,-0.027942575952047577,-0.03467894647262865,0.013022725626590015,0.03980366391450657
35906,0.04510640056889581,0.03098587562726529,-0.1037254236384671,0.041252754811293646,0.3804592481075162,-0.026869475902976503,-0.0634246498465787
35911,0.08115768578046628,0.03555191114715195,-0.0153270320171216,-0.017616164859350247,0.29781268733770566,-0.03645173970731708,-0.020736120242330736
35919,0.2142735590975416,0.04488470965869046,-0.023371869227719777,-0.015454256953966072,0.12381238066496536,-0.03844522992138488,-0.025228902917261598
