metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.869199643490677,0.0,1092,0.869199643490677,True
RelativeInputStability,Sufficiency,0.6290148997164315,5.3804442721509895e-65,578,0.6290148997164315,True
