,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
Complexity,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
Consistency,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
Faithfulness,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
FaithfulnessEstimate,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
LocalLipschitzEstimate,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
MaxSensitivity,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
Monotonicity,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
MonotonicityCorrelation,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
MonotonicityMetric,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
NonSensitivity,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
RelativeInputStability,556,556,556,556,556,556,556,556,556,556,556,556,549,556,556
RelativeOutputStability,555,555,555,555,555,555,555,555,555,555,555,549,555,555,555
Sparseness,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
Sufficiency,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,556,555,1022,1022
