metric_1,metric_2,spearman_corr,abs_corr
Faithfulness,MaxSensitivity,0.03576934717135239,0.03576934717135239
Faithfulness,LocalLipschitzEstimate,-0.03449251070243885,0.03449251070243885
MonotonicityCorrelation,Sufficiency,0.029378100865228213,0.029378100865228213
MonotonicityCorrelation,NonSensitivity,-0.02828646473832105,0.02828646473832105
Complexity,Sufficiency,0.02822189131982917,0.02822189131982917
AvgSensitivity,Complexity,0.028172966878544668,0.028172966878544668
FaithfulnessEstimate,Sufficiency,0.027706022142941263,0.027706022142941263
FaithfulnessEstimate,RelativeInputStability,-0.026635769734363265,0.026635769734363265
AvgSensitivity,Monotonicity,0.018923360001174956,0.018923360001174956
Faithfulness,Sufficiency,-0.018820742885034606,0.018820742885034606
MaxSensitivity,MonotonicityCorrelation,-0.017000842523320934,0.017000842523320934
AvgSensitivity,MonotonicityCorrelation,-0.015430228698439448,0.015430228698439448
Consistency,Faithfulness,-0.011877029636359754,0.011877029636359754
Complexity,FaithfulnessEstimate,-0.010248038028492319,0.010248038028492319
MonotonicityMetric,Sufficiency,-0.0068100324288099656,0.0068100324288099656
MonotonicityCorrelation,Sparseness,-0.002312842940957108,0.002312842940957108
