,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,54987.42131716241,183318.44504753288,0.9010075923292808,1331333.5458471472,1331332.6448395548,418,76.55677655677655,128
RelativeInputStability,703.9826343673443,3995.313205751877,2.554745150838575e-05,31247.837358195437,31247.837332647985,419,76.73992673992674,127
LocalLipschitzEstimate,6.924710746273498,3.7882522911863594,0.6414631086981374,24.58142806377036,23.939964955072224,0,0.0,546
NonSensitivity,2.9853479853479854,2.646057404317013,0.0,11.0,11.0,0,0.0,12
MaxSensitivity,2.0517686873443757,1.2696925833383352,0.4141157640559878,10.221235489783489,9.807119725727501,0,0.0,546
Faithfulness,-0.13883371690309748,0.5416546592736111,-0.9769641717454984,0.950756057591286,1.9277202293367846,0,0.0,534
AvgSensitivity,1.0220404195942046,0.5290695921165368,0.2105242718202224,5.293826135633526,5.083301863813303,70,12.82051282051282,476
FaithfulnessEstimate,-0.00584685078431887,0.49609627664017014,-0.9534588353537624,0.943092016184588,1.8965508515383505,0,0.0,536
Complexity,1.9414242299928293,0.4633481209797067,0.7721312518736995,2.7543211823126073,1.9821899304389077,0,0.0,534
MonotonicityCorrelation,0.07418577349728257,0.4323563956401644,-0.7745098039215688,0.9642857142857144,1.7387955182072832,0,0.0,362
Sufficiency,0.40261166406205007,0.4033146063343935,0.0,1.0,1.0,0,0.0,152
MonotonicityMetric,0.09340659340659341,0.29126822890156834,0.0,1.0,1.0,0,0.0,2
Consistency,0.6412335373827427,0.24036763227869734,0.0793650793638196,0.999999999875,0.9206349205111803,0,0.0,10
Sparseness,0.4388022920854537,0.17147673430290283,0.0859671542451644,0.804897695044068,0.7189305407989036,0,0.0,534
Monotonicity,1.0,0.0,1.0,1.0,0.0,0,0.0,1
