metric,factor,H,p_value,significant_0.05
NonSensitivity,dataset_name,343.72655223647007,2.2947085828930195e-75,True
LocalLipschitzEstimate,xai_method,292.2011154363847,3.542696758903388e-64,True
Complexity,dataset_name,266.2138148545181,1.5574158890416295e-58,True
Sparseness,xai_method,223.4234214143683,3.049442690582749e-49,True
Consistency,dataset_name,190.86472372792323,3.5830415754580245e-42,True
Sufficiency,xai_method,145.95651573937792,2.0227644311887895e-32,True
Complexity,xai_method,94.53516450490821,2.9644890795597425e-21,True
MonotonicityCorrelation,dataset_name,86.03328353410458,2.0802227926634173e-19,True
MonotonicityCorrelation,xai_method,84.51635318009492,4.441269135106033e-19,True
Sufficiency,dataset_name,76.23101792369353,2.796692919773907e-17,True
RelativeInputStability,dataset_name,73.62833871378405,1.0275652109433641e-16,True
MonotonicityMetric,dataset_name,63.91039809863375,1.3244433429028438e-14,True
Faithfulness,xai_method,56.20147748774863,6.251787763763978e-13,True
Sparseness,dataset_name,55.01152860405036,1.1334394987148394e-12,True
AvgSensitivity,xai_method,46.51323824159567,7.9392348342796e-11,True
RelativeOutputStability,dataset_name,39.129164321596136,3.1857370532596554e-09,True
LocalLipschitzEstimate,dataset_name,23.485551400516215,7.946526045105111e-06,True
RelativeInputStability,xai_method,16.76538823272091,0.00022879272017987788,True
Faithfulness,dataset_name,15.507816355808275,0.0004290624073644923,True
RelativeOutputStability,xai_method,14.174979131833595,0.0008354921831086168,True
AvgSensitivity,dataset_name,9.809891377934719,0.007409845508347785,True
MaxSensitivity,xai_method,8.58071438174693,0.013700030897296761,True
NonSensitivity,xai_method,7.743444120725031,0.0208224809639181,True
MaxSensitivity,dataset_name,7.6725721798584345,0.021573575063257532,True
FaithfulnessEstimate,xai_method,4.975386253031456,0.0831014501579291,False
Consistency,xai_method,0.7710912113431696,0.6800794797399843,False
MonotonicityMetric,xai_method,0.5181224004748737,0.7717757887368242,False
FaithfulnessEstimate,dataset_name,0.19321620013888377,0.9079117469719058,False
