observation,PS1,PS3,PS4,PS5,EPS1,VS1
9,-1.3593308650334253,-1.2819502288004037,-0.8729419058573686,-1.391833081165041,-1.3968963831215866,-1.2755982644343344
5,-1.357756474784317,-1.2572859444206834,-0.8729419058573686,-1.2813834959997425,-1.3582815469938079,-1.277307179689303
249,-1.0466939536884707,-1.1185977575356052,-0.7865900289905685,-1.1794185693430537,-1.1731213193140189,-1.1519543014154978
252,-1.0874299230032882,-1.1311932173885806,-0.8729419058573686,-1.1686895298508304,-1.1245838080009083,-1.1711242175232202
255,-1.0936048997427301,-1.1278939732213615,-0.8729419058573686,-1.1743839457443865,-1.135793948474518,-1.1761747333092893
685,-1.0438224513564496,-1.0630469665250777,-0.8729419058573686,-1.0538368412008525,-1.0791368554325285,-1.0852629269168275
403,-1.0027308302673568,-1.1272328161724836,-0.7200805090451254,-1.0874299230032882,-1.0559697961509933,-1.2004371987212457
420,-0.9982263181462514,-1.1371045646516391,-0.8729419058573686,-1.0860525123171936,-1.0387773956106212,-1.2402014736353424
