observation,s0,s1,s2,s5,s6,s8,s9
10898,0.08004936471262154,0.026635465736722673,0.04826739624958672,0.029258362388149585,0.07722665150765162,0.03370673377865125,0.03904807793792511
11907,0.15508514577505142,0.17884837909805623,0.057641762794483443,0.03158562670541655,0.2988931077248637,0.05519674256426236,0.038155581387203354
11975,0.4000852255315654,0.09499516707818435,0.006860249940660803,0.05526922102928867,0.5832449340923205,0.10211656172236509,0.09779609785761159
13992,0.14405830949083653,0.2701634671560358,0.02952463095670651,0.16341987979128245,0.08676079246437267,0.056457719256125645,0.024272403546032446
17874,0.0050518428269952795,0.11996065510782802,0.09258825333629332,0.10536423782356778,0.01062118675036445,0.03448216420633802,0.004863637850043303
18988,0.1364154083654285,0.3017416376881297,0.02997274378935509,0.11241112230345619,0.503332017928362,0.009419278358419768,2.059437779664994
19988,0.27190803384248724,0.23014633931556616,0.0830399406071575,0.07679003631731582,0.024058919126433913,0.20812391952886464,0.04889936172252614
35850,0.2494436027255081,0.21246298646838216,0.03733258156389723,0.09807365810587296,0.35048606461197845,0.001969868766409977,0.5909330495164872
46778,0.06827042988891753,0.20832862180427072,0.006367997246306531,0.022348767252816357,0.07716510911862409,0.05018973277926088,0.012578154233151237
88105,0.056131173545849414,0.030751562634748972,0.005885323145382462,0.007600012422583634,0.04836281307999577,0.07816543182881458,0.023086155232308173
127692,0.022803837026513694,0.00012215284293603154,0.09333727666700177,0.012550068284961332,0.06370955941364874,0.4089950095642181,0.19239714778995243
184605,0.0301763121212519,0.07346880182002957,0.10400263571366668,0.0072328404523432305,0.091750270889451,2.4794789652075492e-05,0.02900908455252647
186549,0.011376746592688673,0.001498686700172185,0.03439055695411349,0.08096934272499665,0.5546889061180076,0.16197997273850642,0.001684844012327831
190671,0.2307081425720384,0.0876241086414524,0.0672177529698682,0.0831430227802624,0.17474367640078772,0.002977563418802758,0.4858491115685379
252175,0.1744708654151429,0.023957655869779045,0.0822398856092422,0.0027075974776276743,0.04220087589855696,0.1981861944611938,0.02784078193668813
256516,0.07702416467719886,0.05075022755882585,0.1323419631942219,0.18820513680027356,0.03390904655440574,0.018357395907331788,0.1508848540485792
263075,0.009933037380732593,0.29922688832036454,0.014767776683239014,0.008729078887917449,0.019311645200830826,0.0003317634757785745,0.039943478849139964
272735,0.016140518475146377,0.09038084757469954,0.170114087913008,0.1352006728700583,0.06888172384209573,0.18966904847341617,0.08299247467624288
274665,0.010804446400808267,0.15217900220961075,0.06138276618683617,0.04697019065455315,0.1548863010447293,0.0356434045318691,0.04584261172726038
274686,0.06339698419755427,0.032772324956066815,0.06426567638505777,0.008803855761530859,0.105956124662466,0.015052503385004553,0.06880554102077373
340527,0.14193402284774034,0.0033742122353898514,0.004435512323996872,0.015046970067102296,0.388158979547698,0.10082579808948289,0.029305120873131925
386207,0.15153367654464808,0.2874663573530104,0.03152317243548372,0.19096186994406444,0.09642417775325114,0.060956030449697,0.010031525317402111
386261,0.02756109729941381,0.07391892252649597,0.06768744370057467,0.0447968555225857,0.041762384496274375,0.2622103920222395,0.006472465047878786
428202,0.029296724618367822,0.34365359194736395,0.2492725998315784,0.027289309682058484,0.017634958519644695,0.02384848344982378,0.001951177128546273
429674,0.2835935863788639,0.02633694658942876,0.18852164304522548,0.005377443010785738,0.0019209887796924148,0.12757962907371778,0.012939979669771038
447185,0.1215167217648464,0.00941391692275094,0.10249901713714715,0.12475777242864883,8.048553232635312e-05,0.0547488686607353,0.47685784306536794
462650,0.13423476369838616,0.02275433492696,0.015008357656853736,0.09538239066950271,0.020172391098347453,0.04425519563718918,0.0032701664191803785
472010,0.0650446653933752,0.2186625757860463,0.023049099651741956,0.03084955236218164,0.030492232814165077,0.04608630142706842,0.03236651406162195
475104,0.03460318978942387,0.020767226874872643,0.091404719460179,0.08282281556007058,0.03629592655976079,0.049126609161762244,0.02481787347083999
475767,0.14750077759190644,0.01360800607165434,0.054954406119528294,0.17270270320063544,0.007219641228162089,0.02717118398064662,0.01035415144672706
499647,0.06941112595574857,0.008906237727297123,0.06986655431019052,0.0668608519047321,0.029058461591246604,0.0398395202889861,0.009570802222582568
559906,0.0053482946649727105,0.1988950236680076,0.06262840355826278,0.026616065638938147,0.025786973761572043,0.00809155297572057,0.030156890917746784
564880,0.14679310834886797,0.005879622485666025,0.1300148454732483,0.0426193072673465,0.0018158911514494687,0.23504802226009125,0.04124761708559729
593844,0.07979719155725272,0.07096384961601518,0.04792968422662284,0.0266466892120384,0.015863267498623036,0.0049535004025591444,0.011153460842778995
623889,0.012062404637092041,0.01886229519528299,0.07631593347819786,0.011717396274386439,0.037956565584809976,0.020029864878260674,0.02208081972705465
631807,0.3135969818387001,0.20074268889711008,0.0013090507938038724,0.2396259824314286,0.004979001824167561,0.14501732653787439,0.03957308540032012
644009,0.028318317727851056,0.0018066571805449045,0.0733645200049061,0.029108802608258644,0.016267229115856572,0.003436867383973952,0.012685328631085287
648830,0.001902741026310783,0.21358871385969566,0.054900243085942026,0.03958986014606699,0.028977590520999255,0.0064262019000237884,0.036003960817874894
741655,0.13965120002627382,0.07562455577403307,0.007030599390467059,0.04615095063174767,0.001964309801657995,0.14519584616522,0.02699574507897099
777408,0.05860388593145071,0.08683678116693731,0.06913810838466244,0.06491927760449197,0.2027712468906706,0.09899814838933804,0.03539973973935201
