observation,s0,s1,s2,s5,s6,s8,s9
10889,-0.027703493525941404,-0.0051540317731116735,-0.24354599729909668,0.04686727440723302,0.11555073111111692,-0.08459793693259224,-0.20116629287468132
11974,-0.042976695780761257,-0.03088718258325253,-0.11460498682662132,0.04012108817348459,0.11701289183455495,0.018722201532076432,-0.2198605096490137
13911,-0.1487856564545909,-0.020191159115090063,0.30275884800348923,-0.030351209104403788,0.03922534909843954,-0.09010809452967793,-0.22077625597077508
16888,-0.04269402663951942,-0.003056133723844244,-0.23428554939834587,-0.03696402965582398,0.12489532104819835,0.09734315670477818,-0.2317055527830248
18929,0.2219946975777189,-0.03717422317302518,-0.22052315307659281,-0.04580601525228414,0.12338990131812855,-0.07371244781871442,-0.19962034207710064
18976,0.21606344182205175,0.11517761325923478,-0.23752732936215615,0.04782672519944317,0.09122051800453825,-0.05277929236689812,-0.22887648592680745
20823,-0.026503950381798907,0.10997491078692774,0.2817037425407684,-0.05548845806529984,0.05371300874604252,-0.09154575815405827,-0.21996321213733
34975,0.2216702991260417,0.1085388911505289,-0.2215498825731681,-0.03197757991753338,0.05767571464493165,-0.07374256694206364,-0.21476795552118627
47839,-0.03200919233236759,0.10261882677353816,-0.22613385531656643,0.02184912026803895,0.07083854506530969,-0.0695667265147593,-0.2122020046784493
88051,0.2025459368836682,0.003260000482692321,0.3068150111836841,-0.035854253484664686,-0.07207160797248051,-0.04411338002895397,0.022787564445847806
124741,0.21347511732483215,-0.031098787705827566,-0.23088493771180982,0.041764393677921105,0.07203158133486647,-0.06093437370195309,-0.20322351146167847
186507,-0.02679115836847329,0.013037181700696081,0.06629245055260592,0.01772643178648024,0.051429798443953886,-0.07474094978342288,0.06006375938143889
188632,0.206467476885825,-0.08383766554037142,-0.2510530598020463,0.0348294243295416,0.09968363920884839,-0.07234352370557444,-0.22488479839516437
189650,-0.1667311930861117,0.01688666233898464,0.042765873480814134,0.05427136900807658,0.04201330274387532,0.04109258615640511,0.0638230232891198
271741,-0.04828935377028478,0.10711131491128983,0.3026259133104266,-0.049649733569042453,0.040435980543496404,-0.04789366732110444,-0.21570743900724335
272521,-0.03495782995634032,-0.0320864511232167,0.04553399415553459,-0.03149881434741453,0.03178644446665444,-0.06928832125089505,-0.006727545078098028
272831,-0.03608055186122839,-0.07859754110291622,-0.234172839093784,0.03800389319249074,0.05968748935534162,-0.05781254837511226,-0.19605354919927062
275667,0.2142257393430223,-0.07562695182187743,-0.2311020598411008,-0.04664164392626007,0.108700216804938,-0.08722831082729059,-0.23485669889540306
308501,-0.14672371852199956,0.10053361333922545,0.28962789841097214,0.03769350524184895,0.043894171153533126,-0.08445496980266314,-0.22187272556161725
317612,-0.03745040415775669,-0.0343446235043453,-0.23684706523311733,0.035841126601540874,0.05661853173256815,-0.07724533799409254,-0.2114488584157645
372134,-0.14077217626866326,-0.015681238554494478,0.29676322412565087,-0.043602800006929,0.05222552794470669,-0.09956312430747176,-0.22489502782660686
427179,-0.13455148264640082,-0.0010109708235822674,-0.1356544663977528,0.03417811014395976,0.12806523490264649,-0.04773847902948149,0.1331894033461308
429550,0.17955594663961222,0.004188457799934328,0.058553331271572126,-0.04160292286754653,-0.10336743226161316,0.04080089558419451,0.14842248843240238
430083,-0.13074738386424642,-0.026367757142087143,0.28302427140169295,0.029968234866612365,0.03955199991412571,-0.0717631894538765,-0.22954820425928146
438177,-0.012121864946466693,0.008955240185172922,0.3083267152618793,0.04851873832684284,0.04827697733234018,-0.06162888524984171,-0.22531807159533238
438218,-0.033089242834881974,-0.07470133580601498,-0.12330150575604794,0.034727557647560116,0.11837754112348738,-0.06451900302925438,0.0021892413253806722
462497,-0.0231879571660855,0.07971103741504461,-0.252436392842697,-0.017961642106308014,-0.07795071045547716,-0.07127993844977956,0.0730239652095437
474820,-0.14339671262712791,0.08541588517180232,0.05997036215318148,0.033816671988874385,0.042881350031362106,-0.09400429902027713,0.13780497518581764
475574,0.20589035179799853,-0.003651507560193449,0.2874717829721885,-0.038628897767154016,0.1346513753791876,-0.07027776727695195,-0.21457478385191264
476990,0.22207326147761092,0.09553334692396767,-0.21212521585448096,-0.05177141583933187,0.06540062736101587,-0.08259631022824931,-0.20230129193284727
499436,0.1950381223973747,0.002695039107954856,0.28966001385440876,-0.031264914763176985,-0.08310937782146607,0.03128187290869539,0.0016708272111756995
559928,0.2314993612243721,0.08902927283705299,-0.24156839912108755,0.04714471508236679,0.12342012383133862,-0.07518898254653344,-0.22319533953738152
562923,0.23232717591088772,0.0971782629076212,-0.23241663942017599,0.04125899963734215,0.10393018672787147,0.08719603530726121,-0.24027954587243147
593792,-0.019109503333981037,0.004289156938117543,0.049451424542504605,0.04152184241736661,0.04894470765084934,-0.05406247534653381,-0.22447929031034183
623748,-0.13928092576758025,0.09460635926394828,0.29186837940980914,0.04014222042709212,0.038807250397612,-0.09624377151373004,-0.21701033148120893
631793,-0.02276449454006923,0.01645409644006106,0.04096365308134927,0.029636890076305888,0.03705125649105338,0.11165227355613268,-0.23067799113269277
643889,-0.15247474276113077,-0.03907931446151593,-0.12807135942578549,0.03235124949789625,-0.08246821311774058,0.10745590839957293,0.014770193113566463
646800,-0.030402687544796345,-0.014323410037836746,-0.23124103822772724,0.04270688357718853,0.10733870659753554,-0.09157558566309959,-0.21792974496930742
741607,-0.044768833034129034,0.08604745825394884,-0.13147021380849896,0.035578892898805205,-0.06838717935767441,-0.07861550692297227,0.05640327662321374
777440,0.22888162168140316,-0.031130680586132567,-0.23978569510691586,-0.027377680482191566,0.108010208913669,-0.06767261745958755,-0.2209326632973679
