metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
Monotonicity,MonotonicityCorrelation,0.11851426094788528,2.4698729384174653e-05,1260,0.11851426094788528,True
MonotonicityCorrelation,RelativeInputStability,0.1177626536375872,0.006644634296746042,530,0.1177626536375872,True
Consistency,MonotonicityCorrelation,-0.11380437961058726,5.1479701216662426e-05,1260,0.11380437961058726,True
FaithfulnessEstimate,LocalLipschitzEstimate,-0.11259193781749904,6.191452150742869e-05,1260,0.11259193781749904,True
Faithfulness,FaithfulnessEstimate,0.10606984301172442,0.00016193498592107162,1260,0.10606984301172442,True
Faithfulness,Monotonicity,-0.09870694919967563,0.0004500599972541327,1260,0.09870694919967563,True
FaithfulnessEstimate,MonotonicityMetric,0.09533413813540553,0.0007030487724146691,1260,0.09533413813540553,True
FaithfulnessEstimate,RelativeOutputStability,-0.09273151078159672,0.032480851640731376,532,0.09273151078159672,True
FaithfulnessEstimate,Sparseness,0.09234589042754826,0.0010317787722360701,1260,0.09234589042754826,True
Consistency,FaithfulnessEstimate,-0.09164540280006221,0.0011270921299836472,1260,0.09164540280006221,True
FaithfulnessEstimate,Sufficiency,-0.09137650033682299,0.0011657928744713713,1260,0.09137650033682299,True
Faithfulness,RelativeInputStability,-0.0891937993962377,0.04010751392857383,530,0.0891937993962377,True
Complexity,FaithfulnessEstimate,-0.08892028627272194,0.001580484764943337,1260,0.08892028627272194,True
FaithfulnessEstimate,RelativeInputStability,-0.08814901374273584,0.042509101843601495,530,0.08814901374273584,True
LocalLipschitzEstimate,MaxSensitivity,0.08240880906144615,0.003419195614421948,1260,0.08240880906144615,True
LocalLipschitzEstimate,Sufficiency,-0.06852240529503968,0.014984653714710963,1260,0.06852240529503968,True
NonSensitivity,RelativeOutputStability,0.0663133495279281,0.12660943944886666,532,0.0663133495279281,False
Consistency,LocalLipschitzEstimate,-0.05752214932491334,0.04120138576577144,1260,0.05752214932491334,True
Monotonicity,MonotonicityMetric,0.05511346539090424,0.05047941965910229,1260,0.05511346539090424,False
Faithfulness,NonSensitivity,0.05389691097384408,0.055793900667213465,1260,0.05389691097384408,False
Complexity,MonotonicityCorrelation,-0.04866033962768046,0.08424326420985916,1260,0.04866033962768046,False
MonotonicityCorrelation,Sparseness,0.04733321294395528,0.0930670748969309,1260,0.04733321294395528,False
Faithfulness,MonotonicityCorrelation,-0.04726959681676623,0.09350798486365405,1260,0.04726959681676623,False
Complexity,Consistency,0.04539113703554989,0.10729824704892456,1260,0.04539113703554989,False
Consistency,Sparseness,-0.04507464560313169,0.10977261489697171,1260,0.04507464560313169,False
FaithfulnessEstimate,NonSensitivity,0.03789746638808858,0.17882735209445996,1260,0.03789746638808858,False
Faithfulness,LocalLipschitzEstimate,-0.03681468808711515,0.1915738213585047,1260,0.03681468808711515,False
LocalLipschitzEstimate,NonSensitivity,0.03489550617773839,0.21578460099968028,1260,0.03489550617773839,False
LocalLipschitzEstimate,MonotonicityMetric,-0.030387491785681616,0.2811108438908823,1260,0.030387491785681616,False
MonotonicityCorrelation,Sufficiency,-0.02603989554336196,0.35571347227863676,1260,0.02603989554336196,False
LocalLipschitzEstimate,MonotonicityCorrelation,0.025402159875417607,0.3676214655595616,1260,0.025402159875417607,False
MonotonicityCorrelation,MonotonicityMetric,0.024131927657975203,0.3920680853545462,1260,0.024131927657975203,False
MonotonicityMetric,NonSensitivity,0.021397985321519312,0.4479206665061737,1260,0.021397985321519312,False
Monotonicity,Sparseness,-0.013114868391201934,0.6418672935181232,1260,0.013114868391201934,False
LocalLipschitzEstimate,RelativeOutputStability,0.012645216883592898,0.7710596532340099,532,0.012645216883592898,False
MaxSensitivity,MonotonicityCorrelation,0.011147688906942519,0.6926043485050243,1260,0.011147688906942519,False
Complexity,MonotonicityMetric,0.009402122908067538,0.7388184908875295,1260,0.009402122908067538,False
MonotonicityMetric,Sparseness,-0.006204554081224749,0.8258529713102518,1260,0.006204554081224749,False
Complexity,Monotonicity,0.00428575163498206,0.8792036574229861,1260,0.00428575163498206,False
AvgSensitivity,MonotonicityCorrelation,0.003907784800122293,0.8897856406616497,1260,0.003907784800122293,False
LocalLipschitzEstimate,RelativeInputStability,0.0025766999983274723,0.9528086366381638,530,0.0025766999983274723,False
FaithfulnessEstimate,Monotonicity,0.0016744876606623897,0.95264986987325,1260,0.0016744876606623897,False
FaithfulnessEstimate,MonotonicityCorrelation,0.001382044836442648,0.960912077459012,1260,0.001382044836442648,False
