,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,0.061128066927803024,0.11794156871833887,0.0017550656200400363,0.034116015490358,0.021063940194614904,-0.007260875450932051,0.03448888705161737,0.0,0.003802887041171103,0.053693245035873804,0.013628058657344684,0.02730576917004504,0.07836184191853718,-0.008511667922045114,0.05780453507451769,-0.005043327552839478,-0.0059857007266259305
10164,0.06112806692780299,0.11794967785569084,0.0017550656200400303,0.034116015490357955,0.02096848888183951,-0.006982630649957707,0.034488887051617206,0.0,0.003714463647433932,0.05368621711683552,0.013628058657344868,0.027305769170044847,0.07826639060576193,-0.008511667922045172,0.05780453507451771,-0.005043327552839459,-0.005985700726625927
10165,0.06112806692780315,0.11794967785569033,0.0017469564826878758,0.034116015490357955,-0.008120526920518387,-0.00716542413815648,0.03448888705161723,0.0,0.0037144636474338824,0.05368621711683525,0.013628058657344623,0.027305769170044937,0.0783618419185369,-0.008511667922045149,0.0578045350745175,-0.005043327552839472,-0.005985700726625957
10172,0.06112806692780299,0.1179496778556904,0.0017550656200399253,0.034116015490358025,-0.008120526920518425,-0.007268984588283952,0.0344888870516172,0.0,0.003802887041170999,0.05369324503587372,0.013628058657344696,0.027305769170045034,0.07836184191853665,-0.00851166792204515,0.05780453507451755,-0.005043327552839475,-0.005985700726625968
10173,0.06103261561502783,0.1179496778556904,0.0017550656200402029,0.034116015490358,0.021063940194615265,-0.006982630649957636,0.034488887051617276,0.0,0.003714463647434168,0.05369324503587396,0.013621030738306367,0.02730576917004497,0.07836184191853672,-0.008511667922045156,0.057709083761742136,-0.0050433275528394845,-0.0059857007266259105
10174,0.06112806692780305,-0.002525983871865724,0.0017550656200398097,0.034116015490358066,0.021063940194614907,-0.007173533275508556,0.03448888705161725,0.0,0.0038028870411709404,0.05369324503587363,0.013532607344569188,0.02730576917004503,0.0783618419185365,-0.008511667922045153,0.05780453507451756,-0.005043327552839472,-0.005985700726625949
10176,0.0611035128554953,0.1179496778556901,0.0017550656200398097,0.034116015490358,-0.008120526920518322,-0.007148979203200779,0.03448888705161732,0.0,0.0038028870411710705,0.05369324503587356,0.013628058657344646,0.027210317857269527,0.07836184191853693,-0.008511667922045198,0.05780453507451766,-0.005043327552839477,-0.005985700726625926
10177,0.061128066927803225,-0.002525983871865735,0.0017550656200397187,0.03411601549035792,0.021063940194614907,-0.007268984588283963,0.034488887051617095,0.0,0.0038028870411711546,0.05369324503587369,0.013628058657344644,0.02730576917004495,0.07836184191853654,-0.008511667922045192,0.057804535074517514,-0.0050433275528394585,-0.005985700726625966
10184,0.061128066927803135,0.1179496778556903,0.0017550656200397187,0.03411601549035804,-0.008120526920518345,-0.007078081962733123,0.0344807779142651,0.0,0.0037144636474339488,0.05369324503587377,0.013628058657344684,0.027210317857269673,0.07836184191853668,-0.008510586703731535,0.0578045350745176,-0.005043327552839475,-0.005985700726625955
10185,0.061128066927803135,-0.0025259838718657258,0.0017550656200399316,0.03411601549035796,0.021063940194614807,-0.0070780819627331275,0.03448888705161708,0.0,0.003802887041170993,0.053693245035873555,0.013628058657344608,0.027210317857269527,0.07826639060576122,-0.0085116679220452,0.05780453507451771,-0.005043327552839473,-0.005985700726625952
