dataset_name,model_name,observation,xai_method,AvgSensitivity,Completeness,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,SensitivityN,Sparseness,Sufficiency
AHU21,AutoEncoder,10163,LIME,0.9963985576885674,False,2.322274486590573,0.8888888888747796,0.299161940142446,0.3636347396304255,7.056067469965512,1.930040007194767,True,0.3578431372549019,False,3,,,,0.542530277281004,0.9047619047619048
AHU21,AutoEncoder,10163,MAPLE,0.2673723995699866,False,1.740960670417962,0.8703703703542525,-0.0142542413827137,-0.3742764428472863,2.410578715623425,1.3616180575146295,True,0.232843137254902,False,2,,,,0.7201092918133143,0.0
AHU21,AutoEncoder,10163,SHAP,1.5990453883228068,False,2.389480029423491,0.8888888888747796,0.4494120149671516,0.0893939322009668,1.8511382525900464,3.5938556395036536,True,-0.1813725490196078,False,3,,,,0.514415048233029,0.9423076923076924
AHU21,AutoEncoder,10164,LIME,1.0291416132809743,False,2.346465974034646,0.8888888888747796,0.3160090049420321,0.3521079787009862,6.224926154133365,1.9151293274206505,True,0.3382352941176471,False,3,,,,0.5333151591640419,0.9230769230769232
AHU21,AutoEncoder,10164,MAPLE,0.2619493431883375,False,1.7666735681920451,0.8703703703542525,-0.0083648093470932,-0.3643251381842187,1.912313698077985,1.4457150111965935,True,0.2156862745098039,False,2,,,,0.7110350364393905,0.0
AHU21,AutoEncoder,10164,SHAP,1.6756704152117388,False,2.4473218869609,0.8888888888747796,0.5288517652581689,0.1865614332682867,1.815296059754486,3.410500871002061,True,-0.2156862745098039,False,3,,,,0.4762537270717801,0.9433962264150944
AHU21,AutoEncoder,10165,LIME,1.09508424961371,False,2.369390089630309,0.8888888888747796,0.2979726529601668,0.3465498393150075,8.512352718590034,1.898005843660689,True,0.2426470588235294,False,3,,,,0.5216318767659084,0.9111111111111112
AHU21,AutoEncoder,10165,MAPLE,0.3198881185390143,False,1.5380331312408595,0.8703703703542525,0.039247408220704,-0.3565239646957207,3.1074618764841726,0.8436905320186342,True,0.2230392156862745,False,2,,,,0.7605026791470536,0.0
AHU21,AutoEncoder,10165,SHAP,1.9190112390290108,False,2.45663102755902,0.8888888888747796,0.3844031159807317,0.217181717879856,1.5145374036320336,4.68835112827202,True,-0.2205882352941176,False,3,,,,0.4712602192484318,0.925925925925926
AHU21,AutoEncoder,10172,LIME,1.1082709448483414,False,2.3862556415876086,0.8888888888747796,0.2702019063737892,0.3531830793614506,7.322550580490379,1.9124911225270704,True,0.3161764705882353,False,3,,,,0.5131835581235419,0.9047619047619048
AHU21,AutoEncoder,10172,MAPLE,0.3021478363756484,False,1.6948094165251315,0.8703703703542525,-0.0088436000258284,-0.3815258243930295,2.6770808522596927,1.1401291420033477,True,0.3112745098039216,False,2,,,,0.7317626401632902,0.0
AHU21,AutoEncoder,10172,SHAP,1.4740651461964602,False,2.139939165489302,0.8888888888747796,0.0909716696282515,0.2675070569809023,1.8507151006118252,3.229051556812254,True,-0.0220588235294117,False,3,,,,0.606170446158401,0.9166666666666666
AHU21,AutoEncoder,10173,LIME,1.0780383576544863,False,2.3213123405678178,0.8888888888747796,0.3410171711931103,0.3635656136305337,7.417930587509442,1.913037661934882,True,0.2647058823529412,False,3,,,,0.5448406776594006,0.9
AHU21,AutoEncoder,10173,MAPLE,0.302498973118313,False,1.7707060525538632,0.8703703703542525,-0.0331564115999046,-0.3929061683502992,2.524530093184802,1.129320020805027,True,0.3406862745098039,False,2,,,,0.7151342759764066,0.0
