dataset_name,model_name,xai_method,AvgSensitivity,Completeness,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,SensitivityN,Sparseness,Sufficiency
AHU21,AutoEncoder,LIME,1.1308195187104566,0.0,2.344844330923983,0.8190476190188357,-0.0438562879459457,0.052457632222455,7.8299595239017075,1.833814422934146,1.0,0.3578781512605042,0.0,5.5285714285714285,0.0002470902160926,502.62010736138126,-0.1594816671532989,0.533691920669931,0.7966157796548247
AHU21,AutoEncoder,MAPLE,0.810517643799529,0.0,1.8278389525255745,0.8222222221777495,0.0258804305852301,0.0479332466951311,3.171402596669485,1.7273445800164444,1.0,0.1190126675920348,0.0,4.385714285714286,0.175525665606027,235580.70230678577,0.0123827936055081,0.6885312946963685,0.0
AHU21,AutoEncoder,SHAP,1.6312308771306427,0.0,2.1670662229031694,0.8190476190188357,0.0277096827533504,0.0084640101692813,1.898171429090353,3.693749333817468,1.0,0.0492647058823529,0.0,5.542857142857143,0.0010764061673491,972.891419778414,0.2995003963063819,0.5690923208609615,0.8074270561152277
AHU21,ECOD,LIME,1.181565043585216,0.0,2.675364541382191,0.5390476190327498,-0.2445492993621797,-0.0593347445128323,8.920034297247236,1.6386087101428273,1.0,0.2492296918767507,0.0,5.7,0.0003352801693394,51.99468574381933,-0.1808425507102447,0.3082225384865465,0.5793698861829375
AHU21,ECOD,MAPLE,0.8345960362652206,0.0,1.967610704006872,0.5707936507631678,0.0974559665864391,0.0049635555289241,2.1057414002820445,2.100509503124509,1.0,0.2402880392071225,0.0,4.6571428571428575,0.0001321421760768,29.03308240513457,0.0187162446436465,0.634111126640893,0.0
AHU21,ECOD,SHAP,,0.0,2.463964928472058,0.5390476190327498,-0.1255270050490196,0.030840700452478,7.80287513869393,2.760592815662772,1.0,-0.4315126050420168,0.0,5.7,,,0.2500159379324462,0.456604365845284,0.6093985923711568
AHU21,HBOS,LIME,1.063446955197176,0.0,2.504810637374132,0.5004988661988945,-0.1574287717423484,0.0111517114625794,9.847357128665394,1.581648955105148,1.0,0.0206295370088193,0.0,7.714285714285714,0.0001847804650987,2666567.093474097,-0.2887971153692137,0.4265561974429779,0.4705394866563834
AHU21,HBOS,MAPLE,0.9302952989761653,0.0,2.4523519075315057,0.5948051947388328,0.0968018107632585,-0.0252964107016213,3.176905828825136,1.929596662964989,1.0,-0.0127986876602592,0.1,7.0285714285714285,0.1817596804375412,6538293499.276709,-0.1730624246806371,0.4493955617388757,0.5852362874816563
AHU21,HBOS,SHAP,2.018871013998748,0.0,2.385537067352115,0.5004988661988945,-0.1713763721431385,-0.0206799365537817,5.010439769089129,2.919363532016818,1.0,-0.4312883420993431,0.0,6.714285714285714,1.050647660559151,543017.1688048039,0.0325258288876294,0.4892173811050903,0.0
AHU21,IForest,LIME,,0.0,2.513381084136182,0.5551927437479947,-0.098917998809403,-0.0090494380888657,9.785667837235634,,1.0,0.2177521008403361,0.0,5.571428571428571,,,-0.2299019733129104,0.4199497674297289,0.5241832646169765
AHU21,MCD,LIME,1.0740116825546042,0.0,0.9395757626448412,0.943764172304838,-0.7328268437386447,0.0161907612918292,8.084966393168148,1.9012237260640537,1.0,0.3256313795101221,0.0,6.314285714285714,0.0179472985048123,2049395.413731811,-0.1379947864421334,0.8622216179050302,0.8478839154833481
AHU21,MCD,MAPLE,57.28739688485797,0.0,1.4293420245626174,0.9440233235434836,0.2409413989405284,0.0973372998590122,1.9770473379434956,167.42645887139025,1.0,0.2882436568863493,0.0,4.714285714285714,2.7082461791140733,2351155221.5257897,0.0739664170413016,0.7778950373675324,0.9189791149066991
AHU21,MCD,SHAP,2.6712282568946755,0.0,0.9075848219513,0.943764172304838,-0.360652161690262,0.0086784019465873,0.5559809407791912,10.17452451778118,1.0,0.6628261800026611,0.0,6.057142857142857,0.0115052070348417,1475979.2330201631,-0.0918441926735409,0.8704787624558907,0.8869508448540706
