dataset_name,model_name,metric,category,direction,xai_method,median,rank,is_best,best_methods,interpretation
AHU21,AutoEncoder,NonSensitivity,Fidelity,lower,MAPLE,4.0,1.0,True,"LIME, MAPLE, SHAP",menor sensibilidad a características irrelevantes
AHU21,AutoEncoder,NonSensitivity,Fidelity,lower,SHAP,4.0,1.0,True,"LIME, MAPLE, SHAP",menor sensibilidad a características irrelevantes
AHU21,AutoEncoder,RelativeInputStability,Robustness,lower,LIME,7.469415459216288e-05,1.0,True,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,AutoEncoder,RelativeInputStability,Robustness,lower,MAPLE,0.0008920617030873001,3.0,False,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,AutoEncoder,RelativeInputStability,Robustness,lower,SHAP,0.00023216409296120003,2.0,False,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,AutoEncoder,RelativeOutputStability,Robustness,lower,LIME,232.39962005360957,1.0,True,LIME,mayor estabilidad relativa en la salida
AHU21,AutoEncoder,RelativeOutputStability,Robustness,lower,MAPLE,2084.89321994431,3.0,False,LIME,mayor estabilidad relativa en la salida
AHU21,AutoEncoder,RelativeOutputStability,Robustness,lower,SHAP,372.6244791747219,2.0,False,LIME,mayor estabilidad relativa en la salida
AHU21,AutoEncoder,Sparseness,Complexity,higher,LIME,0.5343430271187382,3.0,False,MAPLE,atribuciones más concentradas
AHU21,AutoEncoder,Sparseness,Complexity,higher,MAPLE,0.7072879807011061,1.0,True,MAPLE,atribuciones más concentradas
AHU21,AutoEncoder,Sparseness,Complexity,higher,SHAP,0.5453115429687208,2.0,False,MAPLE,atribuciones más concentradas
AHU21,AutoEncoder,Sufficiency,Faithfulness,higher,LIME,0.9021999043519848,2.0,False,SHAP,mayor suficiencia
AHU21,AutoEncoder,Sufficiency,Faithfulness,higher,MAPLE,0.0,3.0,False,SHAP,mayor suficiencia
AHU21,AutoEncoder,Sufficiency,Faithfulness,higher,SHAP,0.9301948051948052,1.0,True,SHAP,mayor suficiencia
AHU21,ECOD,AvgSensitivity,Sensitivity,lower,LIME,1.1490216564305653,2.0,False,MAPLE,menor sensibilidad media
AHU21,ECOD,AvgSensitivity,Sensitivity,lower,MAPLE,0.8061871819402489,1.0,True,MAPLE,menor sensibilidad media
AHU21,ECOD,Completeness,Fidelity,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,ECOD,Completeness,Fidelity,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,ECOD,Completeness,Fidelity,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,ECOD,Complexity,Complexity,lower,LIME,2.678848295943255,3.0,False,MAPLE,explicaciones menos complejas
AHU21,ECOD,Complexity,Complexity,lower,MAPLE,1.9570122712228488,1.0,True,MAPLE,explicaciones menos complejas
AHU21,ECOD,Complexity,Complexity,lower,SHAP,2.4427624650398645,2.0,False,MAPLE,explicaciones menos complejas
AHU21,ECOD,Consistency,Faithfulness,lower,LIME,0.6666666666560846,2.0,False,MAPLE,mayor consistencia
AHU21,ECOD,Consistency,Faithfulness,lower,MAPLE,0.6111111110997943,1.0,True,MAPLE,mayor consistencia
AHU21,ECOD,Consistency,Faithfulness,lower,SHAP,0.6666666666560846,2.0,False,MAPLE,mayor consistencia
AHU21,ECOD,Faithfulness,Faithfulness,higher,LIME,-0.696714130785494,3.0,False,MAPLE,mayor fidelidad
AHU21,ECOD,Faithfulness,Faithfulness,higher,MAPLE,0.19073684235052515,1.0,True,MAPLE,mayor fidelidad
AHU21,ECOD,Faithfulness,Faithfulness,higher,SHAP,-0.4515111574766759,2.0,False,MAPLE,mayor fidelidad
AHU21,ECOD,FaithfulnessEstimate,Faithfulness,higher,LIME,-0.15337478255314804,3.0,False,MAPLE,mayor estimación de fidelidad
AHU21,ECOD,FaithfulnessEstimate,Faithfulness,higher,MAPLE,-0.0020470477633486002,1.0,True,MAPLE,mayor estimación de fidelidad
AHU21,ECOD,FaithfulnessEstimate,Faithfulness,higher,SHAP,-0.027725752840123748,2.0,False,MAPLE,mayor estimación de fidelidad
AHU21,ECOD,LocalLipschitzEstimate,Robustness,lower,LIME,8.651760848459409,3.0,False,MAPLE,mayor estabilidad local
AHU21,ECOD,LocalLipschitzEstimate,Robustness,lower,MAPLE,1.8869926293818844,1.0,True,MAPLE,mayor estabilidad local
AHU21,ECOD,LocalLipschitzEstimate,Robustness,lower,SHAP,7.365367867378717,2.0,False,MAPLE,mayor estabilidad local
AHU21,ECOD,MaxSensitivity,Robustness,lower,LIME,1.5881185942986358,2.0,False,MAPLE,menor sensibilidad máxima
AHU21,ECOD,MaxSensitivity,Robustness,lower,MAPLE,1.4769455350155007,1.0,True,MAPLE,menor sensibilidad máxima
AHU21,ECOD,MaxSensitivity,Robustness,lower,SHAP,2.157144681650559,3.0,False,MAPLE,menor sensibilidad máxima
AHU21,ECOD,Monotonicity,Faithfulness,higher,LIME,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,ECOD,Monotonicity,Faithfulness,higher,MAPLE,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,ECOD,Monotonicity,Faithfulness,higher,SHAP,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,ECOD,MonotonicityCorrelation,Faithfulness,higher,LIME,0.1482843137254902,2.0,False,MAPLE,mayor correlación monotónica
AHU21,ECOD,MonotonicityCorrelation,Faithfulness,higher,MAPLE,0.3125,1.0,True,MAPLE,mayor correlación monotónica
AHU21,ECOD,MonotonicityCorrelation,Faithfulness,higher,SHAP,-0.47794117647058826,3.0,False,MAPLE,mayor correlación monotónica
AHU21,ECOD,MonotonicityMetric,Faithfulness,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,ECOD,MonotonicityMetric,Faithfulness,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,ECOD,MonotonicityMetric,Faithfulness,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,ECOD,NonSensitivity,Fidelity,lower,LIME,4.0,1.0,True,"LIME, SHAP",menor sensibilidad a características irrelevantes
AHU21,ECOD,NonSensitivity,Fidelity,lower,MAPLE,5.0,3.0,False,"LIME, SHAP",menor sensibilidad a características irrelevantes
AHU21,ECOD,NonSensitivity,Fidelity,lower,SHAP,4.0,1.0,True,"LIME, SHAP",menor sensibilidad a características irrelevantes
AHU21,ECOD,RelativeInputStability,Robustness,lower,LIME,9.974439572245467e-05,1.0,True,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,ECOD,RelativeInputStability,Robustness,lower,MAPLE,0.0001109882115149,2.0,False,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,ECOD,RelativeOutputStability,Robustness,lower,LIME,18.39977398804017,1.0,True,LIME,mayor estabilidad relativa en la salida
AHU21,ECOD,RelativeOutputStability,Robustness,lower,MAPLE,22.205557618957588,2.0,False,LIME,mayor estabilidad relativa en la salida
AHU21,ECOD,Sparseness,Complexity,higher,LIME,0.3067597697004509,3.0,False,MAPLE,atribuciones más concentradas
AHU21,ECOD,Sparseness,Complexity,higher,MAPLE,0.6476338901374183,1.0,True,MAPLE,atribuciones más concentradas
AHU21,ECOD,Sparseness,Complexity,higher,SHAP,0.47625033578083154,2.0,False,MAPLE,atribuciones más concentradas
AHU21,ECOD,Sufficiency,Faithfulness,higher,LIME,0.625,2.0,False,SHAP,mayor suficiencia
AHU21,ECOD,Sufficiency,Faithfulness,higher,MAPLE,0.0,3.0,False,SHAP,mayor suficiencia
AHU21,ECOD,Sufficiency,Faithfulness,higher,SHAP,0.702729044834308,1.0,True,SHAP,mayor suficiencia
AHU21,HBOS,AvgSensitivity,Sensitivity,lower,LIME,0.9617639463636793,2.0,False,MAPLE,menor sensibilidad media
AHU21,HBOS,AvgSensitivity,Sensitivity,lower,MAPLE,0.9361583194497032,1.0,True,MAPLE,menor sensibilidad media
AHU21,HBOS,AvgSensitivity,Sensitivity,lower,SHAP,1.0923214093548346,3.0,False,MAPLE,menor sensibilidad media
AHU21,HBOS,Completeness,Fidelity,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,HBOS,Completeness,Fidelity,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,HBOS,Completeness,Fidelity,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,HBOS,Complexity,Complexity,lower,LIME,2.507692378268966,3.0,False,SHAP,explicaciones menos complejas
AHU21,HBOS,Complexity,Complexity,lower,MAPLE,2.501145504617126,2.0,False,SHAP,explicaciones menos complejas
AHU21,HBOS,Complexity,Complexity,lower,SHAP,2.3354848637648216,1.0,True,SHAP,explicaciones menos complejas
AHU21,HBOS,Consistency,Faithfulness,lower,LIME,0.5873015872922651,2.0,False,MAPLE,mayor consistencia
AHU21,HBOS,Consistency,Faithfulness,lower,MAPLE,0.5272727272631406,1.0,True,MAPLE,mayor consistencia
AHU21,HBOS,Consistency,Faithfulness,lower,SHAP,0.5873015872922651,2.0,False,MAPLE,mayor consistencia
AHU21,HBOS,Faithfulness,Faithfulness,higher,LIME,-0.1453175352378252,3.0,False,MAPLE,mayor fidelidad
AHU21,HBOS,Faithfulness,Faithfulness,higher,MAPLE,0.019751540013541652,1.0,True,MAPLE,mayor fidelidad
AHU21,HBOS,Faithfulness,Faithfulness,higher,SHAP,-0.10767334310214854,2.0,False,MAPLE,mayor fidelidad
AHU21,HBOS,FaithfulnessEstimate,Faithfulness,higher,LIME,-0.10765090379580755,2.0,False,MAPLE,mayor estimación de fidelidad
AHU21,HBOS,FaithfulnessEstimate,Faithfulness,higher,MAPLE,-0.0697246435831349,1.0,True,MAPLE,mayor estimación de fidelidad
AHU21,HBOS,FaithfulnessEstimate,Faithfulness,higher,SHAP,-0.2337836507031903,3.0,False,MAPLE,mayor estimación de fidelidad
AHU21,HBOS,LocalLipschitzEstimate,Robustness,lower,LIME,9.605597357015451,3.0,False,MAPLE,mayor estabilidad local
AHU21,HBOS,LocalLipschitzEstimate,Robustness,lower,MAPLE,2.919522445901461,1.0,True,MAPLE,mayor estabilidad local
AHU21,HBOS,LocalLipschitzEstimate,Robustness,lower,SHAP,4.88391459064496,2.0,False,MAPLE,mayor estabilidad local
AHU21,HBOS,MaxSensitivity,Robustness,lower,LIME,1.5142652079404568,1.0,True,LIME,menor sensibilidad máxima
AHU21,HBOS,MaxSensitivity,Robustness,lower,MAPLE,1.6257064250098054,3.0,False,LIME,menor sensibilidad máxima
AHU21,HBOS,MaxSensitivity,Robustness,lower,SHAP,1.616671687389759,2.0,False,LIME,menor sensibilidad máxima
AHU21,HBOS,Monotonicity,Faithfulness,higher,LIME,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,HBOS,Monotonicity,Faithfulness,higher,MAPLE,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,HBOS,Monotonicity,Faithfulness,higher,SHAP,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,HBOS,MonotonicityCorrelation,Faithfulness,higher,LIME,0.01226241800071855,2.0,False,MAPLE,mayor correlación monotónica
AHU21,HBOS,MonotonicityCorrelation,Faithfulness,higher,MAPLE,0.014711143580895151,1.0,True,MAPLE,mayor correlación monotónica
AHU21,HBOS,MonotonicityCorrelation,Faithfulness,higher,SHAP,-0.5282571227653654,3.0,False,MAPLE,mayor correlación monotónica
AHU21,HBOS,MonotonicityMetric,Faithfulness,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,HBOS,MonotonicityMetric,Faithfulness,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,HBOS,MonotonicityMetric,Faithfulness,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,HBOS,NonSensitivity,Fidelity,lower,LIME,6.5,3.0,False,SHAP,menor sensibilidad a características irrelevantes
AHU21,HBOS,NonSensitivity,Fidelity,lower,MAPLE,6.0,2.0,False,SHAP,menor sensibilidad a características irrelevantes
AHU21,HBOS,NonSensitivity,Fidelity,lower,SHAP,5.5,1.0,True,SHAP,menor sensibilidad a características irrelevantes
AHU21,HBOS,RelativeInputStability,Robustness,lower,LIME,0.0001073762084149,1.0,True,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,HBOS,RelativeInputStability,Robustness,lower,MAPLE,0.0001484911618357,2.0,False,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,HBOS,RelativeInputStability,Robustness,lower,SHAP,1.075615485749898,3.0,False,LIME,mayor estabilidad frente a cambios en la entrada
AHU21,HBOS,RelativeOutputStability,Robustness,lower,LIME,191.8810175366061,2.0,False,MAPLE,mayor estabilidad relativa en la salida
AHU21,HBOS,RelativeOutputStability,Robustness,lower,MAPLE,182.4019901016781,1.0,True,MAPLE,mayor estabilidad relativa en la salida
AHU21,HBOS,RelativeOutputStability,Robustness,lower,SHAP,465492.7202710897,3.0,False,MAPLE,mayor estabilidad relativa en la salida
AHU21,HBOS,Sparseness,Complexity,higher,LIME,0.42786212149374386,3.0,False,SHAP,atribuciones más concentradas
AHU21,HBOS,Sparseness,Complexity,higher,MAPLE,0.4332777071325613,2.0,False,SHAP,atribuciones más concentradas
AHU21,HBOS,Sparseness,Complexity,higher,SHAP,0.5333212167887024,1.0,True,SHAP,atribuciones más concentradas
