,AvgSensitivity,AvgSensitivity,AvgSensitivity,AvgSensitivity,AvgSensitivity,Completeness,Completeness,Completeness,Completeness,Completeness,Complexity,Complexity,Complexity,Complexity,Complexity,Consistency,Consistency,Consistency,Consistency,Consistency,Faithfulness,Faithfulness,Faithfulness,Faithfulness,Faithfulness,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,FaithfulnessEstimate,LocalLipschitzEstimate,LocalLipschitzEstimate,LocalLipschitzEstimate,LocalLipschitzEstimate,LocalLipschitzEstimate,MaxSensitivity,MaxSensitivity,MaxSensitivity,MaxSensitivity,MaxSensitivity,Monotonicity,Monotonicity,Monotonicity,Monotonicity,Monotonicity,MonotonicityCorrelation,MonotonicityCorrelation,MonotonicityCorrelation,MonotonicityCorrelation,MonotonicityCorrelation,MonotonicityMetric,MonotonicityMetric,MonotonicityMetric,MonotonicityMetric,MonotonicityMetric,NonSensitivity,NonSensitivity,NonSensitivity,NonSensitivity,NonSensitivity,RelativeInputStability,RelativeInputStability,RelativeInputStability,RelativeInputStability,RelativeInputStability,RelativeOutputStability,RelativeOutputStability,RelativeOutputStability,RelativeOutputStability,RelativeOutputStability,SensitivityN,SensitivityN,SensitivityN,SensitivityN,SensitivityN,Sparseness,Sparseness,Sparseness,Sparseness,Sparseness,Sufficiency,Sufficiency,Sufficiency,Sufficiency,Sufficiency
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
xai_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIME,1.0526614326316555,1.05271731491534,0.5505503413814634,0.0957026960939979,3.8368298769197855,0.0,0.0,0.0,0.0,0.0,1.7939072113757482,1.7094803248647679,0.5675749685685472,0.3191206453337963,2.7543211823126073,0.7439732031847766,0.9024390243682332,0.2580231634200289,0.0158730158727639,0.999999999984127,-0.18461161278141483,-0.1930856504897848,0.5034405000256162,-0.9996625911190896,0.9870268411341564,-0.0729355436797179,-0.09544317483889275,0.4848022704123283,-0.9985975197863644,0.9984113790654228,9.17235197251235,8.879472409566379,3.3401304805099823,1.652432489856055,31.374282895856595,1.7943023402907847,1.7563521614522453,0.8514386936060637,0.2095963947857095,6.187911413544574,0.8672161172161172,1.0,0.33949649594275993,0.0,1.0,0.20564465593554684,0.2312297288314915,0.3414792655999871,-0.8928571428571429,0.9642857142857144,0.048534798534798536,0.0,0.214991858558056,0.0,1.0,3.7234432234432235,4.0,3.005415194109203,0.0,14.0,564.1964253901946,0.3479275525028278,5188.951556325519,2.5115565234290948e-05,108355.94547696887,22976828.946186133,9212.052229460152,248096053.66296676,4.303410428160123,4127215257.373959,,,,,,0.49396908577661364,0.4658118847406706,0.19092579918998676,0.0859671542451644,0.8794475703271419,0.5724919399414982,0.7222222222222222,0.4074175180819014,0.0,1.0
MAPLE,486.8473731071125,0.8204761128802546,5181.851874174161,0.0327538347060871,90978.39479263408,0.0,0.0,0.0,0.0,0.0,1.6080031639571088,1.5811884674637997,0.5103059507596832,-1.000088900581841e-12,2.6581879631903,0.7657722836017861,0.9047619047475436,0.25653605965001575,0.0204081632648896,0.9999999999818182,0.05036040044984324,0.02494291533951615,0.4083459935139691,-0.9999671257043942,0.986368617386295,0.04070871808128566,0.0257560753940387,0.5089663837987602,-0.9999985998895956,0.9999970281204388,3.9537566146685497,3.4361074984113302,2.4352899064428564,0.5458513233638083,19.13629557349906,695.5236364649485,1.7154033223246739,7262.314498823017,0.0619647877722219,125284.2782195404,0.8581213307240705,1.0,0.34909648730482845,0.0,1.0,0.2227806994654848,0.25,0.34954032973875215,-0.9285714285714288,1.0,0.05577299412915851,0.0,0.22959517952038755,0.0,1.0,2.6663405088062624,2.0,2.47716745159761,0.0,13.0,66.78124104481806,0.46114278925502367,836.7763187276717,1.346755203581286e-06,18990.049588815866,2129046975.2512968,3929.174375995819,33591304926.212452,0.9010075923292808,743656001187.0403,,,,,,0.5716707284173661,0.5524454632134466,0.14993458571036455,0.2098782034171828,0.9353743369318568,0.5093680251459319,0.5753787878787879,0.41423026244701017,0.0,1.0
SHAP,1.562224622502764,1.0643850133766728,1.3943287262371977,0.1823798330285951,18.778814042521404,0.0,0.0,0.0,0.0,0.0,1.679143335424746,1.6898502566942475,0.5724608973219523,0.0559547103319113,2.72839336752305,0.7569033716393506,0.9047619047475436,0.2575188727715693,0.0158730158727639,0.999999999984127,-0.1990007599992241,-0.3263581045884648,0.5593694767776858,-0.9999954780707486,0.9937259275849762,-0.047372720940441114,-0.06634155810807205,0.5604193494737714,-0.999992959693626,0.9999941237328324,3.9830604709270956,3.37488538296914,3.032266345495163,0.1680686242181314,20.96615530555212,3.4208224020268023,2.20513198788617,3.5340159186442266,0.368936530748573,50.17127868791484,0.860078277886497,1.0,0.3470756433282842,0.0,1.0,0.0801059777313273,0.08422005472427116,0.47880362731201304,-1.0,0.9642857142857144,0.05675146771037182,0.0,0.23148038434758697,0.0,1.0,3.2113502935420746,3.0,2.8219005578976364,0.0,13.0,272.3491188141529,0.3492849863686483,2424.3749499108653,2.288164692033084e-05,34613.72709023079,2744753.934337779,10878.103167229896,20342439.92285811,4.731930344962446,355838414.92690766,,,,,,0.5297977416627316,0.49738202255622266,0.17695789784183658,0.1307478992506948,0.9373043250596698,0.5568382006886465,0.8,0.4488767754423355,0.0,1.0
