dataset_name,model_name,xai_method,AvgSensitivity,Completeness,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AHU21,AutoEncoder,LIME,1.0868403933756516,0.0,2.3464255053699237,0.8888888888747796,0.12066645592162989,0.0899344268002001,7.652899314931471,1.889464310065167,1.0,0.35416666666666663,0.0,4.0,7.469415459216288e-05,232.39962005360957,0.5343430271187382,0.9021999043519848
AHU21,AutoEncoder,MAPLE,0.6470215290340763,0.0,1.7824486392328343,0.8703703703542525,-0.0297675069350769,0.0518848037828213,3.2724672281559792,1.5402758342435372,1.0,0.13521318008060795,0.0,4.0,0.0008920617030873001,2084.89321994431,0.7072879807011061,0.0
AHU21,AutoEncoder,SHAP,1.3941235405973436,0.0,2.305057774939775,0.8888888888747796,-0.021374348291510498,0.054936785471925154,1.7438210560011083,2.8191295209040774,1.0,0.0367647058823529,0.0,4.0,0.00023216409296120003,372.6244791747219,0.5453115429687208,0.9301948051948052
AHU21,ECOD,LIME,1.1490216564305653,0.0,2.678848295943255,0.6666666666560846,-0.696714130785494,-0.15337478255314804,8.651760848459409,1.5881185942986358,1.0,0.1482843137254902,0.0,4.0,9.974439572245467e-05,18.39977398804017,0.3067597697004509,0.625
AHU21,ECOD,MAPLE,0.8061871819402489,0.0,1.9570122712228488,0.6111111110997943,0.19073684235052515,-0.0020470477633486002,1.8869926293818848,1.4769455350155007,1.0,0.3125,0.0,5.0,0.0001109882115149,22.205557618957588,0.6476338901374183,0.0
AHU21,ECOD,SHAP,,0.0,2.4427624650398645,0.6666666666560846,-0.4515111574766759,-0.027725752840123748,7.365367867378717,2.157144681650559,1.0,-0.47794117647058826,0.0,4.0,0.00027401858552779997,,0.47625033578083154,0.702729044834308
AHU21,HBOS,LIME,0.9617639463636793,0.0,2.507692378268966,0.5873015872922651,-0.1453175352378252,-0.10765090379580755,9.605597357015451,1.5142652079404568,1.0,0.01226241800071855,0.0,6.5,0.0001073762084149,191.8810175366061,0.42786212149374386,0.4791304347826087
AHU21,HBOS,MAPLE,0.9361583194497032,0.0,2.501145504617126,0.5272727272631406,0.019751540013541652,-0.0697246435831349,2.919522445901461,1.6257064250098054,1.0,0.014711143580895151,0.0,6.0,0.0001484911618357,182.4019901016781,0.4332777071325613,0.5897435897435898
AHU21,HBOS,SHAP,1.0923214093548346,0.0,2.3354848637648216,0.5873015872922651,-0.10767334310214854,-0.2337836507031903,4.88391459064496,1.616671687389759,1.0,-0.5282571227653654,0.0,5.5,1.075615485749898,465492.7202710897,0.5333212167887024,0.0
AHU21,IForest,LIME,1.1061373694584398,0.0,2.511140736547551,0.6825396825288487,-0.053643127136234606,-0.016006245635325298,9.540279075468344,1.778655143408483,1.0,0.25490196078431376,0.0,4.0,0.00017544960504645,111.1120130787765,0.42234109703554223,0.6129406307977736
AHU21,IForest,MAPLE,0.8146467448786618,0.0,1.763099738954257,0.6825396825288487,0.036769457791386004,0.07326157412149815,2.2115936435127077,2.185860703560146,1.0,0.32508705641064595,0.0,8.0,6.289518601841729e-05,34.23116271405366,0.7291058160099688,0.0
AHU21,IForest,SHAP,1.220085109428719,0.0,2.3921114940589012,0.6825396825288487,-0.15573862430308605,-0.08514329892054084,2.2384417631945963,1.5603426949551569,1.0,-0.1446078431372549,0.0,4.0,0.00068436180604495,910.5692870141828,0.510056398622287,0.7845261121856867
AHU21,MCD,LIME,1.2182942152552267,0.0,0.9441306890971072,0.9682539682385992,-0.9970717902065349,0.30038857270467856,8.88633288270959,2.092429092116893,1.0,0.30392156862745096,0.0,5.0,0.0015598010224178,473473.26531867206,0.8615913595037693,0.961901306240929
AHU21,MCD,MAPLE,1.405458263199979,0.0,1.3178941067032248,0.9591836734498128,0.2038807582542804,-0.003842126764563733,1.6153700261343924,4.560334869623463,1.0,0.29289215686274506,0.0,5.0,2.2379504221239026,665831095.2623578,0.813275978653845,0.9661016949152542
AHU21,MCD,SHAP,2.740218846804307,0.0,0.8261422617170788,0.9682539682385992,-0.39726382947311695,0.22603483103039596,0.28396138502026047,11.138995333880084,1.0,0.6887254901960785,0.0,6.0,0.0007328106367834,113288.13184724678,0.8848599882560559,0.9666666666666668
AHU21,VAE,LIME,1.0775788096181942,0.0,2.4189522463290265,0.999999999984127,-0.5454230306467736,-0.0018939544506614506,8.219613609472217,1.8463500281190774,1.0,0.2549019607843137,0.0,4.0,0.000119071128008,480.644979276515,0.49503037089291413,1.0
AHU21,VAE,MAPLE,0.5100694799166983,0.0,1.643943925371313,0.9999999999818182,-0.01461943549596995,0.004240608830436001,3.1403446529172294,1.1292412977119384,1.0,0.1961986880114975,0.0,4.0,9.772966571785191e-05,384.53740878263307,0.7432985276145907,0.0
AHU21,VAE,SHAP,1.0235580274094795,0.0,2.2755011484998073,0.999999999984127,-0.6751633566854722,-0.014747732803121995,1.9856974062996091,2.452007528218135,1.0,0.0919117647058823,0.0,4.0,0.0002850895466444,725.6247205264598,0.5534275431668995,1.0
ARAMIS20,AutoEncoder,LIME,0.7058735557844437,0.0,1.7107924970720243,0.9047619047475436,0.05629480465847135,-0.0080960249759206,7.475547395148714,1.4817498618230198,1.0,0.19642857142857145,0.0,1.0,2.688061712974849,2283.9306500811213,0.35002123523841805,0.8888888888888888
ARAMIS20,AutoEncoder,MAPLE,0.8903773638763632,0.0,1.5841606067108351,0.9047619047475436,-0.0599641740716853,-0.016127887952545397,5.1762387025112355,2.2350004893240873,1.0,0.15023961205248143,0.0,1.0,8.143283306546362,7191.43183498213,0.44867061953069054,0.9016393442622952
ARAMIS20,AutoEncoder,SHAP,0.7615411955523027,0.0,1.6323128400569482,0.9047619047475436,-0.0292570510506636,0.0230627421484511,3.6209279455076153,1.4488181145805188,1.0,0.0714285714285714,0.0,1.0,2.9856210476967817,1514.287320287367,0.42248585155137625,0.9393877551020408
ARAMIS20,ECOD,LIME,0.7553498950414763,0.0,1.9021932129257126,0.9047619047475436,-0.3654585001856159,-0.02837426280314835,12.057818119291142,1.5004163130135857,1.0,0.33928571428571436,0.0,1.0,3.252573971420893,122.49223095821344,0.16163187238625404,0.9069767441860463
ARAMIS20,ECOD,MAPLE,0.7135828271345479,0.0,1.3032467963788437,0.9047619047475436,0.21417497848222788,0.06362728734560535,4.05480575173268,1.9944530332661932,1.0,0.24325311492780088,0.0,1.0,6.770833223786267,386.1035086614015,0.5861938521235508,0.0
ARAMIS20,ECOD,SHAP,1.0200210994600971,0.0,1.7023440421839693,0.9047619047475436,-0.7104047997037924,0.011115726749005149,7.251624934125423,1.7684308671088105,1.0,0.3214285714285715,0.0,1.0,4.4410488325048805,105.24005814457855,0.3686231082310695,0.9439203354297694
ARAMIS20,HBOS,LIME,0.5406014913402684,0.0,1.6289380459927085,0.4920634920556815,0.0472505310245981,-0.10366257615205855,9.317101073256918,1.252957553095838,1.0,0.23214285714285715,0.0,1.0,2.421267316935557,315.1196110650078,0.4214059530085982,0.6505813953488373
ARAMIS20,HBOS,MAPLE,0.5958905261475196,0.0,1.4287137301356416,0.4920634920556815,0.20152358180392066,-0.0658957169332363,4.502328964593685,1.672077931922753,1.0,0.25,0.0,1.0,2.705409811922297,272.0843542448517,0.5353244978328975,0.5081967213114754
ARAMIS20,HBOS,SHAP,0.7813898634576522,0.0,1.57827620588276,0.4920634920556815,-0.18012887824314577,0.1266808901937679,4.981865108206274,1.4747313300558287,1.0,0.3571428571428572,0.0,1.0,2.8673881350457484,280.50753971468066,0.45191507435542755,0.54
ARAMIS20,IForest,LIME,0.6401215201767109,0.0,1.7465815143670576,0.9047619047475436,0.16154485326136436,-0.2269475186098574,9.579883751618725,1.3290202382368275,1.0,0.2142857142857143,0.0,1.0,2.209163841665959,262.05205919709397,0.3213677883749466,0.9272486772486773
ARAMIS20,IForest,MAPLE,0.6534900849949696,0.0,1.3891381502118794,0.9047619047475436,-0.19928195667748574,-0.14787412597409866,3.689890523775519,1.6003845336158449,1.0,0.3035714285714286,0.0,1.0,0.9463022778085628,12.52258897425532,0.5261729329843792,0.9
ARAMIS20,IForest,SHAP,1.1130652156915377,0.0,1.660568797805212,0.9047619047475436,-0.0423516037695923,-0.0897004259188702,3.4884769894575474,1.8621409568501348,1.0,0.0,0.0,1.0,4.492954896415085,44.18513451587485,0.39426889024405165,0.9482758620689656
ARAMIS20,MCD,LIME,0.6834918934715688,0.0,1.550319701892144,0.9047619047475436,-0.434519475102066,-0.3678436221406624,7.957597774798579,1.4654497959749082,1.0,0.33928571428571436,0.0,1.0,4.683625459967659,11037.646483514716,0.47270483867524327,0.975609756097561
ARAMIS20,MCD,MAPLE,0.48784545973093185,0.0,1.418923599349402,0.9047619047475436,-0.039124479214119656,0.1140691502874632,3.141188151549322,1.1071879480509002,1.0,0.5714285714285715,0.0,1.0,6.82297153998093,15732.742124865605,0.5259676604468795,0.95
ARAMIS20,MCD,SHAP,1.8186180381414179,0.0,1.5771768742159273,0.9047619047475436,-0.8567072829971594,0.05032727756548745,0.9170539736369494,5.561864050660553,1.0,0.6785714285714287,0.0,1.0,8.479804752370148,10112.21477728881,0.4545334453303292,0.9824561403508772
ARAMIS20,VAE,LIME,0.7525075480850338,0.0,1.6448410855419537,0.9206349206203074,0.05290198366801345,-0.1072977489010863,7.513402273931064,1.3900403930838832,0.0,0.0714285714285714,0.0,0.0,8.60613383875464,355.18783424789234,0.4182307274335201,0.9473684210526316
ARAMIS20,VAE,MAPLE,0.9886260764503152,0.0,1.5215854504088602,0.9206349206203074,0.16474117248659698,-0.080416484557565,3.5430264623785366,2.067687962942088,0.0,0.3571428571428572,0.0,0.0,20.969058883861912,929.9282768108347,0.48053769309412153,0.9666666666666668
ARAMIS20,VAE,SHAP,2.0730656183285188,0.0,1.599496764664702,0.9206349206203074,-0.18606641490676834,0.1225304943535282,2.5080528661085095,5.077691383647304,0.0,0.05357142857142855,0.0,0.0,20.53269444058442,477.7786225350942,0.4403677828163812,1.0
MetroPT3,AutoEncoder,LIME,1.1904218455273765,0.0,0.9600521171278884,0.9024390243682332,-0.21783393777130233,-0.0637650188787911,11.819730498758235,2.0732572494192127,1.0,0.2126038358234456,0.0,5.0,5.50809075873701,1928137.5070803463,0.7825744193306593,0.0
MetroPT3,AutoEncoder,MAPLE,1.0679665973524215,0.0,1.9921880321565817,0.9024390243682332,-0.19798015929403956,0.07625341352294776,6.817074657574935,1.549375508570928,1.0,0.39999999999999997,0.0,2.0,24.785147795572428,6159299.742771005,0.42404210599713,0.9073684210526316
MetroPT3,AutoEncoder,SHAP,0.3624479031531299,0.0,1.4018757345902992,0.9024390243682332,-0.7348332558182522,-0.1537761019403564,1.3917774682677178,0.6117930962074443,1.0,-0.0394492875225231,0.0,3.5,1.7510997799841093,351168.04167138744,0.6852947094054187,0.0
MetroPT3,ECOD,LIME,1.9086161093195742,0.0,1.5707289189734368,0.6585365853497919,-0.4489638401379207,-0.22536056529230086,8.901207062337523,2.350927539759182,1.0,-0.10630191791172275,0.0,4.0,6.9391211101691725,286163.4347748489,0.600487571517342,0.0
MetroPT3,ECOD,MAPLE,1.047378550014954,0.0,1.903737199050886,0.6585365853497919,-0.07082260652268685,0.07557666757069556,4.522273887782964,3.014908534955653,1.0,0.01215811087360125,0.0,1.0,0.0007514748645589,35.149072551505,0.4620474474167059,0.675
MetroPT3,ECOD,SHAP,0.5440708478906271,0.0,1.9137113257190537,0.6585365853497919,-0.02682607713935385,0.08825880230813221,4.8175619580932185,0.8024155106426638,1.0,-0.5189751413581853,0.0,2.0,0.31273012504529574,10708.079622451896,0.4467448113134289,0.0
MetroPT3,HBOS,LIME,1.3072590796671926,0.0,1.5964279897792344,0.7317073170553243,-0.17910496442475532,-0.18087083051700195,11.345152199401811,2.110862653110124,1.0,-0.3939424016728551,0.0,6.5,1.4666783706809332,117190.32066145094,0.5859620079646379,0.0
