observation,s0,s1,s2,s5,s6,s8,s9
10889,0.056628062147957514,0.05362566448282437,0.21018494603099924,0.04280426131219912,0.4601946330908686,0.02997512654618672,0.2600608362543086
11974,0.1339758978683412,0.0834682912845384,0.12815058454449862,0.011105254939934684,0.6545653143606063,0.1301003642666065,0.10422969268477479
13911,0.05723444054109447,0.019474090373653705,0.19125840482042575,0.03808324797912722,0.0005922807980816609,0.049188752866150556,0.15707210551182335
16888,0.00842867796076463,0.07046068491305535,0.46631301292016475,0.008110792089564093,0.3864225170725646,0.10552393798995761,0.07439194934008017
18929,0.14821638434411344,0.04197921748210983,0.12675248313881457,0.014888580213921776,0.20070151034028588,0.0034182843649759958,0.2527339646083613
18976,0.1820018589625223,0.17681833136964237,0.16062739835759354,0.08711912373901297,0.014871060217908069,0.011492994679936334,0.22975553307048086
20823,0.021665197051884418,0.17880312312877775,0.24261789541616155,0.0731317860625152,0.010470508519426984,0.1065188185266618,0.20894660870185397
34975,0.14338729019866625,0.16385141546248125,0.03925168114248663,0.06404633853801835,0.043365391766652474,0.05935883922874923,0.2539414577844241
47839,0.021183047779081938,0.07114588201125813,0.018355634697535587,0.06339820808899543,0.241062489130401,0.02155754660393688,0.1572945856804118
88051,0.026607552205678217,0.11777975215887031,0.21524933624422773,0.10800530607827627,0.049476738424506075,0.011665225455847866,0.004369686145490653
124741,0.08203900362648782,0.02380152997565243,0.08151957858939256,0.04643107402910081,0.14491760729506079,0.09898122903429678,0.13014513871659136
186507,0.011652022129257412,0.06269419128589687,0.015165094567640215,0.04812031625989559,0.03842235724273178,0.009001108103099145,0.03539852636868486
188632,0.11957902246766866,0.016966211693450146,0.15051197375459155,0.0003160924373549218,0.2482072679865218,0.0018896696074821367,0.19936269444453408
189650,0.002903459843115046,0.026372710059108607,0.01815671643306543,0.09337875661535551,0.15694270223753873,0.11681973597362998,0.06681453916261951
271741,0.017941278251996894,0.19572461347481493,0.32592659454743933,0.05733532485663004,0.03639923639364898,0.05756777328053222,0.3335840020923478
272521,0.05442916497166832,0.08659730736401296,0.0993941579478394,0.012252411535453216,0.06866373755361527,0.06258572567640139,0.017183943035834953
272831,0.026826704990074432,0.006754959333022813,0.06651305542611297,0.06748106653092519,0.28900471551742946,0.036160924766168355,0.1196018057391491
275667,0.1421907268659699,0.007439827055005027,0.14638825015076215,0.011578271298403185,0.19994841330369845,0.0188644441865562,0.2244607475564948
308501,0.061312725478339616,0.12877282105461652,0.1365915560596401,0.010922684559731591,0.024456491319019197,0.08527259328575543,0.08239222054418531
317612,0.030669649511531356,0.026856317100070828,0.04259767360617187,0.09704478040124694,0.2645592036805605,0.002324801339191341,0.07142810829795364
372134,0.009204690154508874,0.012992159427165783,0.2453175842417626,0.03274540360906117,0.05941850716778118,0.04345224606678154,0.22842979598617452
427179,0.010480670977849535,0.0694954341055515,0.08210480777313932,0.032977350803092144,0.025017857098951924,0.05395894269986699,0.04931572137074543
429550,0.01365432155846317,0.10755905894283199,0.11753987018826109,0.05094259283070766,0.08478308165290707,0.03911213166732342,0.04004001647171876
430083,0.03441189062617525,0.010135385687684727,0.19571253305480693,0.010883673034674878,0.15648459833667475,0.04194340191617431,0.23495273803367409
438177,0.006007203635271666,0.018426392332783745,0.12515818205830587,0.02824415606428824,0.12807231405794264,0.015529017733853482,0.28687722695077816
438218,0.047742020017134845,0.06019262893500167,0.18379446451290563,0.016204863872711677,0.45237500111352935,0.02206326901708685,0.021399795186262404
462497,0.050560205401719675,0.05150752071277908,0.1764802534170227,0.013968459218141748,0.03093408129594865,0.02940590372202651,0.033255481469001466
474820,0.07125646439777844,0.14078006146420247,0.009734311005788027,0.012913675611594797,0.03553870525623537,0.09944385556978663,0.031654369015157925
475574,0.01919022517919617,0.09667005876307597,0.29911465408766114,0.10260941868829764,0.004057508972362567,0.05847893098054365,0.09766189183662868
476990,0.11776885955088899,0.08507372847314745,0.043193471615291426,0.04403248243943033,0.03471750313717697,0.0056161384251234864,0.1287909901046771
499436,0.021770972703627912,0.12393276186220879,0.17403242931395246,0.06708417557579069,0.04448949431980564,0.009927917265377567,0.009096793999385433
559928,0.17845143589102436,0.0973806645106967,0.1649028872251067,0.0573947043422432,0.0650808359565036,0.041758507439290174,0.29230495768812087
562923,0.19531917387914527,0.25275913094279034,0.19971217849462608,0.05456365476890157,0.14979121465189368,0.0870327114936275,0.3621152889770456
593792,0.007548653339124422,0.06452923777211639,0.09017384374523095,0.0456451774820952,0.044678302296038246,0.005226469139036336,0.150328419473244
623748,0.06599310050106487,0.11411296914866016,0.10439719707680697,0.015450614037834829,0.024509784106719532,0.0780145178992257,0.058638919667119094
631793,0.007060147605304219,0.06948835726525807,0.10132935309418961,0.06926878163351548,0.0804539260455363,0.12979697680233843,0.16534259941357946
643889,0.02790682800104178,0.009082628962916492,0.11095418189021403,0.06686346189974851,0.03464727404827829,0.075962608366606,0.02001288465741978
646800,0.00034579443603401306,0.036358834862842054,0.20447828702083107,0.0577988082169156,0.35302991619444496,0.08658360924057307,0.10038569351640488
741607,0.08484149990004612,0.12878975152543623,0.0548747197564115,0.055457780756144985,0.046618141453469285,0.04602877202931615,0.025450594972597343
777440,0.1669290714471024,0.10264466690387422,0.15187630835091248,0.017051399452700497,0.16788406073324208,0.009615728014858355,0.2647815322808565
