dataset_name,model_name,observation,metric_params,LIME,MAPLE,SHAP
AHU21,HBOS,10163,"{""normalise"": true}",2.527151165097739,2.5023279150982103,2.3189344123881575
AHU21,HBOS,10164,"{""normalise"": true}",2.538753153853978,2.5045434076105395,2.3166389106692526
AHU21,HBOS,10165,"{""normalise"": true}",2.4615641135753057,2.5246881787876685,2.305308916335323
AHU21,HBOS,10172,"{""normalise"": true}",2.471528669788154,2.5151769305287486,2.306457692307486
AHU21,HBOS,10173,"{""normalise"": true}",2.5263037291490305,2.4737308155155824,2.316844422880763
AHU21,HBOS,10174,"{""normalise"": true}",2.5080900889418265,2.191248917006074,2.350742381891066
AHU21,HBOS,10176,"{""normalise"": true}",2.4766971779043545,2.567168400729102,2.305702508340232
AHU21,HBOS,10177,"{""normalise"": true}",2.5144421943311444,2.112661205465823,2.351563452162959
AHU21,HBOS,10184,"{""normalise"": true}",2.5025583813326975,2.5625837215824543,2.304599706805712
AHU21,HBOS,10185,"{""normalise"": true}",2.519883132825708,2.162283218009926,2.350606029307166
AHU21,HBOS,10187,"{""normalise"": true}",2.4985486957285636,2.3132931074476915,2.339120164734793
AHU21,HBOS,10188,"{""normalise"": true}",2.4888506136250665,2.245149359937306,2.3391671825295397
AHU21,HBOS,10191,"{""normalise"": true}",2.512016260593596,2.6288540515026626,2.350789396756489
AHU21,HBOS,10197,"{""normalise"": true}",2.4625363792535113,2.2687634427506858,2.3439982565768056
AHU21,HBOS,43465,"{""normalise"": true}",2.5024402846458016,2.495253069536872,2.3229975742056412
AHU21,HBOS,60711,"{""normalise"": true}",2.5833364575498723,2.441830182388614,2.2848516867181536
AHU21,HBOS,62404,"{""normalise"": true}",2.5635301681358396,2.581425106387385,2.4470588579617796
AHU21,HBOS,64473,"{""normalise"": true}",2.4822317278474566,2.5388810802070916,2.276244968760736
AHU21,HBOS,64782,"{""normalise"": true}",2.4932355810200018,2.5778896446193507,2.3561528893639343
AHU21,HBOS,64794,"{""normalise"": true}",2.4906204547116735,2.590587230585333,2.3579462379712095
AHU21,HBOS,64795,"{""normalise"": true}",2.4733835659824757,2.5934161547872905,2.3256411812829674
AHU21,HBOS,64811,"{""normalise"": true}",2.4803039441522303,2.582544987829288,2.356322968945446
AHU21,HBOS,77140,"{""normalise"": true}",2.5327908240792145,2.4485249113403076,2.508517653417256
AHU21,HBOS,77146,"{""normalise"": true}",2.521840596379103,2.20222790492261,2.509176303188039
AHU21,HBOS,77154,"{""normalise"": true}",2.5376420536944075,2.2288217681507088,2.507277578896605
AHU21,HBOS,98666,"{""normalise"": true}",2.430683271876077,2.6327145650891848,2.213433841746426
AHU21,HBOS,98980,"{""normalise"": true}",2.447348982543342,2.5877068450657297,2.248126832125443
AHU21,HBOS,102428,"{""normalise"": true}",2.39969911378875,2.5644542268972517,2.1944662246457396
AHU21,HBOS,102433,"{""normalise"": true}",2.3810273732792817,2.5403455430942095,2.194466224645738
AHU21,HBOS,159784,"{""normalise"": true}",2.507294667596105,2.499963094136042,2.2685046213509805
AHU21,HBOS,159789,"{""normalise"": true}",2.5082153654162047,2.5499776764526794,2.2670976010543065
AHU21,HBOS,159797,"{""normalise"": true}",2.5118668529314494,2.549122166581147,2.2669419924386114
