observation,s0,s1,s2,s5,s6,s8,s9
10772,0.022921578440931394,-0.011171105575863552,0.012360439378368393,0.023863845063419292,0.08394551094002596,0.09762187221650916,0.12594555676497263
10910,0.013261523598829305,0.014674174119856971,-0.021188762443961364,-0.024404740706370328,0.08364276059224127,-0.042687617144266936,-0.057842501797831396
12916,0.02594135319983869,-0.0037294195739779284,0.01394225991233689,-0.0005946808265791041,0.07962033908007138,0.09963645527869346,0.1253400771785274
17896,-0.010216726825465648,-0.011214780659212513,0.03334202352125546,0.009104827645798869,0.09052433485584285,0.09491694268564081,0.12982941370524315
17916,-0.013044920736363205,-0.0006749892069288778,-0.023740849553016592,0.02165747462934557,0.0830674630903474,-0.0436772380144268,0.1288437239752582
19990,-0.013123050923282434,-0.011573673609487394,0.03975752843739024,0.020512780627555616,0.08640939341456687,0.09887789351214185,0.12748986030501372
21986,-0.006211173405502871,-0.003581570486621466,0.037695895487302226,0.00848302616721792,0.08965514610867276,0.09517467767877631,0.12929663057857768
34987,0.017288246389249126,-0.0032826279241630423,0.043071924419641354,0.004005729092488422,0.08520307233782999,0.09924016698242892,0.12470113759747568
48798,-0.009384146431147693,-0.006213715343601191,0.03857012685071787,0.018549282994557797,0.08627373008732549,0.09683711125266321,0.1336626228670275
88082,-0.044966059977900326,-0.01120091917982091,0.03630008384608909,-0.004104125737524212,-0.07061369184137997,-0.05144773400930549,-0.0616665415006115
117728,-0.012948323938357945,-0.008421180474758901,0.03699465122576093,0.00846843852037339,0.08951564880333589,0.098082776064495,0.12929153681535735
175671,-0.00853512562988641,-0.013104010254447084,0.043516133645418995,0.02165468531856452,0.08633569833862584,0.0931626156048626,0.13036296197061226
187628,-0.014599409156217219,-0.012768831718210742,0.04001975498586356,-0.02653161994673455,0.08482274194905962,0.09843282428479404,0.1313824159983435
189605,-0.05033987996539101,0.01680065110843558,-0.027055993840263446,-0.0297139954570862,0.08061595780157188,0.049805073065673965,-0.013591431304460003
261038,0.032880347930606235,0.011294276922788555,0.037770712778585756,0.01860228363029225,0.09141776824731407,0.047905603373417135,0.12897539054045
262581,-0.005213762567429285,0.012167148159785686,0.011081082695966488,0.020042598854976945,0.08969703412229925,0.09608748959145,0.1319210098634424
272950,-0.002663275064260898,0.009724383383755381,0.014003347270729768,0.025620955037546956,-0.09519142490087625,0.039628616109566785,-0.05705706605992873
273806,0.04271161705512986,-0.009066730796077374,-0.02183170014995148,-0.028065683172845635,0.09549038156024182,0.04660786317769783,-0.06214774422596311
287595,-0.015321138379387906,0.009897264704414401,0.017379208466765207,0.007728052894663486,0.08430391321175887,0.08927147192818498,0.12615437619288816
318509,-0.006878017507842896,0.005710118989917815,0.038240038068806964,0.0018080693954632115,0.09186320500089312,0.08942374263309882,0.12664245024833742
339514,0.03625253222850108,0.013348052347911607,0.03873743913298878,0.00012978115496636966,0.09015749246925504,0.09989045501192999,0.12453090766081515
379269,-0.012357794951849585,-0.011981548787407663,0.04180593842679676,-0.024167780515696048,0.08995080475431533,-0.09370220417091013,0.12788465571446406
429859,-0.05523287662751853,-0.010935602140807433,0.041234826536879314,-0.024420373026126086,-0.09406636441103408,0.03815917316372105,-0.05861808645684786
431159,0.03523611832003526,0.014504980893750269,0.041380326234652605,0.0002006414184295759,0.08933024975271806,0.0932283041333574,0.12802344773184765
443111,0.03734476315713389,0.013078259689488544,0.03989383820194939,0.019908929332859326,0.09045061404888409,0.044122008812072996,0.12813542679036638
447193,0.04389885058074766,-0.006111594425336703,0.0402670063550444,-0.029526902840109694,0.08284425521060039,0.09682720993408876,0.1263056264449861
462779,0.015937207298299817,-0.01404427981274825,-0.028338800896536214,0.023616598866363376,0.0861158345749971,0.0942321564241373,-0.05638508845656342
475330,-0.0140056413274316,0.015074536742684832,0.0157100545947949,0.004477366583172349,-0.07598376528665318,0.044876269387152806,0.1274780065165724
475989,0.03725067258976459,0.010207402645408616,0.03933439687229567,-0.028283413074314014,0.08769068733587565,-0.09456204519137072,0.13430249156918025
477005,0.017992093818017516,0.01350933275060044,-0.031959234069002654,-0.0009765855408340113,0.08089026837316672,0.04640084294566934,-0.012390029367231216
499899,-0.04550461532613802,-0.003285295489292593,-0.028198724934510845,-0.0011306695392021078,0.08050422804712268,0.10079953971757288,0.12762456696054933
556901,-0.013976671809797222,-0.011814871273918493,0.03811325174448137,0.022374649532630377,0.08697790477132826,-0.09923738936154157,0.13164222026460498
560932,-0.006492445655410381,-0.006182352619901874,0.04093525258675149,0.024966805264419595,0.08745669157228243,0.04616310636794395,0.13476259147125733
590835,0.03641346269767424,0.004079312330683273,-0.019390098435468503,-0.029614522425257674,0.08241136378480354,-0.051035657172635786,-0.0084829312779057
593835,-0.005801684824024138,-0.005457358894977729,0.037421058277176907,0.023263740354230386,0.08577431929889845,0.04461885012880896,0.1256741653637489
623998,0.018054414870740897,-0.0012246739314802732,0.04103531080853243,-0.026800334159130263,0.08963581724950602,-0.038863437681788085,-0.010858965168357083
644081,0.020986374530770333,0.001324050671630712,0.039151231436159256,-0.02431637709508131,0.09567349078552605,-0.047562571077754225,-0.006988375203188023
645780,-0.04567297225865654,0.014802030945295296,-0.02375080178889038,-0.024289499843673304,0.08595689464669516,-0.047419828519951274,0.1286655686841105
741675,-0.046235070160188955,-0.003262162785551904,0.04475828933974374,0.0005228862732310915,0.08594862265055729,0.09577038639214541,-0.056318246533742886
778321,0.02022010860970636,0.01729460575658861,-0.031067904241848427,0.023212897254049493,-0.07556476370276093,0.0444424181260035,-0.05355727515778394
