metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
MonotonicityMetric,Sparseness,-0.11894904157554008,0.00013810585222749842,1022,0.11894904157554008,True
MaxSensitivity,RelativeInputStability,-0.11602621654493767,0.012672248511708136,461,0.11602621654493767,True
FaithfulnessEstimate,MaxSensitivity,-0.11338842023199186,0.00028105010955897764,1022,0.11338842023199186,True
Monotonicity,RelativeOutputStability,-0.10575183991052212,0.02271397409705103,464,0.10575183991052212,True
LocalLipschitzEstimate,MaxSensitivity,-0.10513572316462831,0.0007619041191263445,1022,0.10513572316462831,True
Faithfulness,Monotonicity,0.10261691067631314,0.0010191216484328855,1022,0.10261691067631314,True
MaxSensitivity,MonotonicityCorrelation,0.09983775325407349,0.001394591172749047,1022,0.09983775325407349,True
MonotonicityCorrelation,RelativeOutputStability,-0.09909259167183884,0.03284139118727444,464,0.09909259167183884,True
Complexity,FaithfulnessEstimate,0.09528778563567472,0.002292660836275241,1022,0.09528778563567472,True
Consistency,FaithfulnessEstimate,-0.08812241872108766,0.004814340505435143,1022,0.08812241872108766,True
Faithfulness,FaithfulnessEstimate,0.08614954623175071,0.005854047810845635,1022,0.08614954623175071,True
FaithfulnessEstimate,NonSensitivity,-0.08565878358220082,0.00614225051909034,1022,0.08565878358220082,True
AvgSensitivity,FaithfulnessEstimate,-0.081665100989185,0.015268655242114865,882,0.081665100989185,True
FaithfulnessEstimate,Sufficiency,0.0749849158651105,0.0165021828537146,1022,0.0749849158651105,True
Monotonicity,MonotonicityMetric,0.07455298682736469,0.017136498162804173,1022,0.07455298682736469,True
MaxSensitivity,MonotonicityMetric,-0.0744972322916636,0.017219914174303626,1022,0.0744972322916636,True
FaithfulnessEstimate,MonotonicityMetric,0.07297777116565732,0.019634314139128403,1022,0.07297777116565732,True
FaithfulnessEstimate,RelativeOutputStability,-0.06463011310633346,0.16456728174829224,464,0.06463011310633346,False
Complexity,Monotonicity,0.06350517810289374,0.04238249465871389,1022,0.06350517810289374,True
MonotonicityCorrelation,MonotonicityMetric,-0.06129685849372718,0.050109596114563844,1022,0.06129685849372718,False
MonotonicityMetric,RelativeInputStability,0.05743947175239545,0.2183430511896832,461,0.05743947175239545,False
Complexity,MonotonicityMetric,0.05692295076210604,0.06891101195033895,1022,0.05692295076210604,False
AvgSensitivity,MonotonicityCorrelation,-0.05591098809684397,0.0970322008134444,882,0.05591098809684397,False
Complexity,Faithfulness,0.05461695527820014,0.08094990113862319,1022,0.05461695527820014,False
MonotonicityMetric,NonSensitivity,-0.05285968640246807,0.09122515155637656,1022,0.05285968640246807,False
AvgSensitivity,LocalLipschitzEstimate,0.05150098752844232,0.12642652305362911,882,0.05150098752844232,False
Complexity,RelativeOutputStability,-0.05023572527793358,0.28019839281303566,464,0.05023572527793358,False
MaxSensitivity,Monotonicity,-0.050139681236813664,0.10916706266283296,1022,0.050139681236813664,False
Faithfulness,RelativeInputStability,-0.03968452543701274,0.39527808170470907,461,0.03968452543701274,False
LocalLipschitzEstimate,NonSensitivity,-0.037203474607806195,0.23471370511424938,1022,0.037203474607806195,False
RelativeInputStability,RelativeOutputStability,0.03345418782469559,0.476564753640854,455,0.03345418782469559,False
AvgSensitivity,RelativeInputStability,-0.03285727758990043,0.48158821573253113,461,0.03285727758990043,False
FaithfulnessEstimate,Sparseness,-0.01939888769896588,0.5356151784031974,1022,0.01939888769896588,False
FaithfulnessEstimate,Monotonicity,-0.017806306194666714,0.5696320192854001,1022,0.017806306194666714,False
Faithfulness,NonSensitivity,0.01757162271567009,0.574730448978121,1022,0.01757162271567009,False
Monotonicity,MonotonicityCorrelation,-0.015407099524651571,0.6227392011892259,1022,0.015407099524651571,False
AvgSensitivity,Monotonicity,-0.014644753373035588,0.6640462938403697,882,0.014644753373035588,False
AvgSensitivity,MonotonicityMetric,-0.01356412133545666,0.6874771806018326,882,0.01356412133545666,False
Consistency,NonSensitivity,-0.01329038037289199,0.671292035811072,1022,0.01329038037289199,False
Faithfulness,Sparseness,0.0071236728047495085,0.82006685110139,1022,0.0071236728047495085,False
Complexity,Sufficiency,0.005351568378835107,0.8643222704987329,1022,0.005351568378835107,False
FaithfulnessEstimate,LocalLipschitzEstimate,-0.003144996047290515,0.9200118831732709,1022,0.003144996047290515,False
Monotonicity,Sparseness,-0.0005879666454424883,0.9850217553573865,1022,0.0005879666454424883,False
