metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
NonSensitivity,local,observation,5.0,1.0,,,,,,
NonSensitivity,local,observation,249.0,3.0,,,,,,
NonSensitivity,local,observation,252.0,3.0,,,,,,
NonSensitivity,local,observation,255.0,3.0,,,,,,
NonSensitivity,local,observation,685.0,2.0,,,,,,
NonSensitivity,local,observation,403.0,4.0,,,,,,
NonSensitivity,local,observation,420.0,4.0,,,,,,
SensitivityN,local,observation,0.0,0.5219866473856573,,,,,,
Sparseness,local,observation,9.0,0.21730477748634913,,,,,,
Sparseness,local,observation,5.0,0.28643734186782555,,,,,,
Sparseness,local,observation,249.0,0.29683296988931696,,,,,,
Sparseness,local,observation,252.0,0.29683296988931696,,,,,,
Sparseness,local,observation,255.0,0.29683296988931696,,,,,,
Sparseness,local,observation,685.0,0.2471218736650371,,,,,,
Sparseness,local,observation,403.0,0.2696169682793848,,,,,,
Sparseness,local,observation,420.0,0.31204348251279485,,,,,,
Sufficiency,local,observation,9.0,1.0,,,,,,
Sufficiency,local,observation,5.0,0.0,,,,,,
Sufficiency,local,observation,249.0,1.0,,,,,,
Sufficiency,local,observation,252.0,1.0,,,,,,
Sufficiency,local,observation,255.0,1.0,,,,,,
Sufficiency,local,observation,685.0,0.0,,,,,,
Sufficiency,local,observation,403.0,1.0,,,,,,
Sufficiency,local,observation,420.0,1.0,,,,,,
