metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,aggregate,,,"[0.9982734610122522, 0.9982734610122522, 0.9982734610122522, 0.9982734610122522, 0.9982734610122522, 0.9982734610122522, 0.9982734610122522, 0.9982734610122522]",8.0,0.9982734610122522,0.0,0.9982734610122522,0.9982734610122522
Sparseness,local,aggregate,,,"[0.04030908928871521, 0.04030908928871521, 0.04030908928871521, 0.04030908928871521, 0.04030908928871521, 0.04030908928871521, 0.04030908928871521, 0.04030908928871521]",8.0,0.04030908928871521,0.0,0.04030908928871521,0.04030908928871521
