observation,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
8988,0.05857408410382654,0.08589614759883094,0.0005176925968253537,0.019160054087068584,0.04288055642815383,-0.0292019614197725,0.025246602422086768,-0.018095014050703427,0.04628660253630135,0.0395096251570527,0.03155168055047051,0.02660397527110701,0.05547823485654524,-0.05018661113844177,0.047172441249595,-0.08140049173863272,-0.08474600804445542
9027,0.059605743660303495,0.08789578930782746,-0.0035803131281720037,0.023731000594822554,0.03857572668057527,-0.031814879683895285,0.020578481512843635,0.06086175231525646,0.047823921586965294,0.045470223557320485,0.028820716384705028,0.02468640504427791,0.0607573025432562,-0.048663041140523895,0.045592835836128685,-0.080502991598667,-0.0838075476590094
9617,0.0607620065529328,0.0850617680353624,-0.005321796875318683,0.022857361562647914,-0.02362176138618894,-0.0305648173287657,0.020795463390313376,-0.021478024202226182,0.04646936762426916,0.0420486651992801,-0.03134943252421256,0.02796018697542639,0.06526001089046686,-0.050405201346348856,0.04689892794933771,-0.07409523890759469,-0.08799580396642594
10162,0.060082767735788585,0.08882977438545323,-0.00027750997888225846,0.021289713495916567,0.036217219866504176,-0.029303132875581967,0.022527406599153456,-0.02073890695179158,-0.01585419573922338,0.04024017601840014,0.031048140520976382,0.024044119880923524,0.0617225695594674,-0.05198072637808225,0.042222443505170515,-0.07584916219033763,-0.08277326442477423
10168,0.060478870113351346,0.08902524351037984,-0.0059829397863974424,0.02257099097162006,0.038987925233005816,-0.029690113100723475,0.023226379316321582,0.057490455145988946,-0.015863642952205464,0.04544356624756572,-0.03287426066165262,0.02542778962873007,0.0628684948847509,-0.04867797687848444,0.04072205934794766,-0.07732370222711527,-0.090417095689457
10177,0.05776177721387673,0.08815711325056753,-0.001525492130203867,0.023827153686592755,0.041154704688653856,-0.028886779880613653,0.016212594548814338,-0.01820308393709016,-0.015905264728564857,0.04844148698147277,0.027773960234329008,0.022113211916236473,0.059965023754561954,-0.04695014394275026,0.04754754797926467,-0.08004827827629875,-0.08710143338430565
10186,0.060863100672540804,-0.08874384046238284,-0.0072547096891865765,0.02029824540062328,0.039858038049847104,0.09672762912392971,0.020346643238215455,-0.022020199726260112,-0.015612624969237387,0.044207102216800326,0.02962230508617052,0.02374525124699348,-0.05883238164474536,-0.04681034888460593,-0.04806346130138894,-0.0799875238441345,-0.08640977355310636
33769,0.058970626345023563,-0.08636552216552107,-0.002760835598797147,0.027082977911340834,0.039400589851890766,0.09433704361010502,0.02480755634038544,-0.019368185851834207,-0.017446263544416037,0.0413428746641932,-0.02865356941364855,0.021067416633791674,-0.06218960699309373,0.047739511317453937,-0.042213288182707726,0.07232566219554513,0.08923600397174794
42449,-0.059023981060915075,-0.08895246971132206,-0.0030817344511582436,0.02046986636196747,0.03757912419154792,0.09690141855827843,0.020498997413662602,0.058903329714887875,-0.015159073885715343,-0.044383264563456835,-0.026850138551035678,-0.025590710785910627,-0.06644424201580434,-0.0485849838362215,-0.041191710976002716,-0.0776307762945864,-0.0843991696749889
54295,-0.05899593022979795,-0.08746939409554438,0.039257664721068966,0.0258062137730282,0.042439481571267236,0.09338451798687342,0.022003372918432525,0.0599188312720161,0.04750075078604868,-0.043982509693521014,-0.027117876709928726,-0.024007836518355558,-0.06208358119499314,-0.04752006466607127,0.04412542659808379,-0.07650659917264115,-0.0836152109843449
54607,-0.06040928985411745,-0.08862664212526268,0.037088308679670515,0.026248081817121703,0.0404203244627005,0.09535168820828628,0.025732866968310033,0.05933356641144927,0.04671830329697613,-0.046575646635751825,0.028730506040358258,-0.024918041436644865,-0.06189784549989029,-0.04873502047307009,0.044056410267121,-0.07764578434812215,-0.0879521569654466
54729,0.061236938906570164,-0.08810649324010975,0.03599573236439758,0.024955934585969064,0.04103123128552499,0.09284124975972798,0.02454053176670259,0.058981311726291355,0.04441639958806987,-0.043977446732597986,-0.026764529885879684,0.0271874977338696,-0.05823511378662861,-0.0501456639424407,-0.04746283005275523,-0.07287930158839868,-0.08456744787760438
60437,0.05923454529595359,0.08495464932758863,0.041948769837653097,0.024910397363950676,-0.00840815889610742,-0.029628274575544157,0.022838878997042084,-0.021296545070028608,-0.017048395102905615,0.0463518852999966,0.03232808415483604,0.025607108953883028,0.05742926796526552,-0.05380638394091436,0.039993781130697625,-0.07442866517730472,-0.08204370936188525
63262,-0.06161881212985902,-0.08661994788665707,0.041222694705378135,0.026273629348916104,0.03853526975408374,0.0923869487106994,0.02574090792183437,0.05922154019712215,0.04773102409365986,-0.04607165820345905,-0.026414956439996792,-0.023439404128061867,-0.05900240285915826,-0.05022580661513881,0.04418652725349816,-0.07454808796213977,-0.08770646031092094
77144,-0.06165591741412651,-0.08941813220296577,0.040033659918994526,0.02363356215899542,-0.013298434507126642,0.09083283422452386,0.023870968385439815,0.05880149725321138,0.04282604525747144,-0.047745233010844934,0.025246110809878403,-0.02297497111179823,-0.0631521046659592,-0.05135898567488888,-0.044615087297004696,-0.07346510171589447,-0.08370795446201287
81706,0.05885763656288234,-0.09032321967682509,-0.0022486339896598427,0.02566556834008435,0.04180823108964256,0.09430775889992409,0.02376874059081483,0.05927703348768581,-0.016651311020887568,0.040820512746021886,-0.025648441379317825,0.024898845231397702,-0.05796523655720616,0.0463835522517204,-0.04354606803551688,0.07729970702792595,0.08257423562692884
81716,0.061477438301027684,-0.08933713591215521,-0.002587909355953859,0.023446244972324035,0.040399681787529826,0.09450026220666921,0.023670351986161173,0.059951870117415845,0.042917985923480374,0.04252902319116391,-0.024270050864709937,0.026410305055498226,-0.05837088934948609,0.052842752224263566,-0.046145812301362034,0.07242862054912237,0.08492146737991857
98951,0.05859279687298315,-0.0893273549564415,-0.004629768898426086,0.02517550904672108,-0.016921647190724223,0.09444400185174448,0.02408698061388504,-0.019723354049753613,-0.015632405453521098,0.04752612336452686,-0.025595001192246232,0.024925400261295222,-0.06235551362157624,0.04693777346673504,-0.04430101815602504,0.07599552370273874,0.08647286383001675
102430,0.061285745542048777,-0.08774593236547969,-0.005744311825393867,0.028242970920878113,-0.013003520231856426,0.0955652149612414,0.027949444823140334,-0.020076222072325307,-0.015001610630659015,-0.044384997396881884,0.03313435332983262,0.024362688010446033,-0.05883362834400942,0.04659540796259119,-0.04440480089062241,0.07376637258507662,0.0857169383597474
105262,-0.061297136008893506,-0.08650804244785126,-0.0059548692607575004,-0.03637766033767843,-0.016782103933019373,-0.04059899368265138,-0.03380120873779804,-0.024673031016424842,-0.018784189416464543,-0.04679295189952222,-0.025150529464510553,-0.022783046482297783,-0.06078673357373702,-0.05311616927774059,-0.04565014823860476,-0.07653620720234157,-0.0819537898919585
112417,-0.06510046023584218,-0.08526840496643369,-0.005574299412397417,-0.03369812377440616,-0.017237096185495068,-0.03906053433485961,-0.03508412120839961,-0.024669351099224947,-0.01973443919013086,-0.041858379874646516,0.03069098852578801,-0.026007713264570766,-0.059622875839863296,-0.05413395129136813,-0.04888049390238381,-0.07945663013481524,-0.08864678134548956
115263,-0.06234078731069422,-0.08584808463989813,-0.005906161452338713,-0.033876609192113986,-0.016628729780484866,-0.041879985813490686,-0.032608088614000774,-0.024233125232760208,-0.015268859260606168,-0.049077366457677525,0.031990924145458295,-0.02643178463753034,-0.06273009513600072,-0.05143074407020765,-0.04770925786471476,-0.07803801062240866,-0.08687440861236204
117310,-0.05759535510022254,-0.08554686209778349,-0.005513253413644629,-0.03251861938919343,-0.014559899314660906,-0.040020152532458664,-0.03461581369570497,-0.027416480101992286,-0.022918372873413306,-0.04506163419053125,0.028544884591452782,-0.023586651972422344,-0.060962306401054954,0.050060368224854865,-0.04511260407693029,-0.07580044247590319,-0.08348106364237039
159783,0.05653341757182943,0.07980791752990787,-0.003364694824709736,-0.035408674504167965,-0.0027794150975999758,-0.029930003271620417,0.025401819560391045,-0.01713608959868895,-0.013052175193975769,0.04797797102668831,0.03012433991142065,-0.02420824757390835,0.06201661391407311,-0.04691888474488634,0.044013655287160586,-0.07770032178760138,-0.08796359005105893
160996,0.06277738424402977,0.08481233530384007,-0.000831479654667952,-0.032244813120701855,0.039264153969398224,-0.03125343857564569,0.02222819607365787,0.060587476543915456,0.04541332428753563,0.04241039013319758,-0.026935197277882003,0.024257074125163803,0.06779448591942716,-0.04694785807199973,0.044679436887192905,-0.07453832142441175,-0.0835611422643469
165861,0.062301899900181784,0.08434307462031611,-0.0022609191145649627,-0.030900849322948076,0.04262325566481842,-0.041982999398758214,0.02531987147922379,0.05990475586173913,0.042376791261743284,-0.044327009221098085,0.027057815703719307,0.023652494280732246,0.06075847381409186,-0.05002833896564148,0.04364795578759742,-0.07679073779544643,-0.08260255629352263
169909,0.06373486282915956,0.0933436589524272,-0.00152736904616506,-0.034010859288352444,0.0403466983652618,-0.030710379073439036,0.020390566797357016,0.06454632391153728,-0.013727864216487778,0.048143230956657145,0.02797938046458463,0.020565016633315055,0.06334045381471652,0.04587398406513658,0.04777635771830596,-0.07869210874867258,-0.08971477669975063
169911,0.06292460901096711,0.08219863570029967,-0.0034702488575500414,-0.034162385622425774,0.04043143055125785,-0.0296349252591497,0.02401738683876783,0.05923375127404081,-0.013885180685696455,0.04084565170910849,0.03061017473324024,0.024470171740269716,0.06484170439925116,0.05006950850391338,0.04393505869226642,-0.07435460909896432,-0.08488319611471375
188281,-0.05941247032677769,-0.08429030344958416,-0.009404226858343606,-0.028566022215958286,-0.013398778811834796,0.0953760417652586,0.022366835174818692,-0.02228393899513684,-0.01461055196850973,-0.043339407195084036,0.026573473190271674,-0.02618188531337066,-0.061403351869828066,-0.05115367433648453,-0.04144570340174523,-0.07972795429933248,-0.08450658257707837
194326,-0.057024842588671,-0.08898468175724356,-0.005593069488973996,-0.032564008466732595,-0.012637671874888401,0.09339501467446554,0.025054660700108124,-0.02104405401607609,-0.016963133143233954,-0.04751201925627311,0.024333981095443626,-0.025809055818782768,-0.06068019828272111,-0.0488651196180512,-0.04582738583355155,-0.07949003505901019,-0.08865224252988035
196947,0.05979435018110498,-0.08502456622631258,-0.0037350766891597544,-0.03219348806679756,-0.01190308350130034,0.0978545017923492,0.025857085953516996,-0.019839296194415282,-0.015550722706734313,-0.04625042026085473,-0.025117517188789143,0.025829592373965798,-0.0614764688009181,-0.04761103865134486,-0.045913282021022066,-0.07553347975163185,-0.08430251668320156
197159,0.061438326329303704,0.08207117372178432,-0.004880141871924056,-0.02982129125639298,0.03965274925442498,-0.029347756453646012,0.022349749113102373,-0.01828998806782192,-0.01465209131342279,0.03988246507900111,-0.028070839487833454,0.025410116431712895,0.0597470783655249,-0.04899562274266066,0.04578703931299733,-0.07928160024941983,-0.08694708307488157
198359,-0.057117922259549404,-0.08179199120160699,-0.005069899512810475,-0.033167867295594136,-0.011410813344940063,0.09194910666964425,0.026508441051149623,-0.018916680860976365,-0.014683863811073177,-0.04197730664679212,0.02858752352493079,-0.02411386515182941,-0.06437055898771679,-0.05152889087269761,-0.04303070379232476,-0.07455461040543532,-0.0848692337581214
