metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.9141692976406648,4.8697254012423895e-133,336,0.9141692976406648,True
Consistency,Sufficiency,0.8134407285417322,4.07652780540073e-97,406,0.8134407285417322,True
Complexity,Sparseness,-0.6857016289233571,1.0813376386171513e-57,406,0.6857016289233571,True
NonSensitivity,Sufficiency,-0.6280246931313164,6.284150338937787e-46,406,0.6280246931313164,True
