,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,60180623.5082873,441705256.85029477,2.881651196689477,4127215257.373959,4127215254.4923077,458,83.88278388278388,88
RelativeInputStability,799.3805130181058,3484.200819460234,8.802480363676894e-05,22708.489724708063,22708.489636683258,458,83.88278388278388,88
LocalLipschitzEstimate,6.833046691173505,4.049742303616837,0.5458513233638083,21.63419034783749,21.08833902447368,140,25.64102564102564,406
NonSensitivity,2.37192118226601,2.1879805794372693,0.0,10.0,10.0,140,25.64102564102564,11
MaxSensitivity,2.0657493193806453,1.5149585924825226,0.4520048605957463,10.94916909612998,10.497164235534234,210,38.46153846153847,336
AvgSensitivity,1.1587655714560519,1.0237902395431422,0.1877479940958709,6.621990377660782,6.434242383564911,210,38.46153846153847,336
Faithfulness,0.032858963784578595,0.44680342054288713,-0.918808720075798,0.9516263944202636,1.8704351144960616,140,25.64102564102564,394
Complexity,1.7548839895795296,0.42106160666721276,0.633018392354678,2.5823655839290947,1.9493471915744167,140,25.64102564102564,394
FaithfulnessEstimate,-0.07480873567530093,0.41748406607382815,-0.9443140612000984,0.90690121155644,1.8512152727565385,140,25.64102564102564,396
Sufficiency,0.5768586012369846,0.3881195480876269,0.0,1.0,1.0,140,25.64102564102564,156
MonotonicityCorrelation,0.20871115055964465,0.3386790793489257,-0.8571428571428573,0.9393939393939392,1.7965367965367967,140,25.64102564102564,207
MonotonicityMetric,0.0960591133004926,0.29503586131172693,0.0,1.0,1.0,140,25.64102564102564,2
Consistency,0.6859633564451423,0.2498683390976671,0.0793650793638196,0.9999999998,0.9206349204361803,140,25.64102564102564,9
Sparseness,0.4649306582965887,0.13578986806100357,0.1307478992506948,0.8188003083875528,0.6880524091368581,140,25.64102564102564,394
Monotonicity,1.0,0.0,1.0,1.0,0.0,140,25.64102564102564,1
