,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,486553657.672264,3214431100.2773213,21.31372898581892,52177751731.8137,52177751710.49997,8,2.380952380952381,328
MaxSensitivity,2111.9898317105735,12559.639929793273,0.1259674119599321,125284.2782195404,125284.15225212844,0,0.0,336
AvgSensitivity,1478.9279075524896,8964.739283369567,0.0399557021242876,90978.39479263408,90978.35483693195,0,0.0,336
RelativeInputStability,40.15447698769978,327.83753848437004,1.346755203581286e-06,3530.5458534543777,3530.5458521076225,9,2.6785714285714284,327
LocalLipschitzEstimate,4.024951864223815,3.234233554140651,0.1680686242181314,14.125590558742664,13.957521934524532,0,0.0,336
NonSensitivity,5.476190476190476,2.4408278041641256,0.0,12.0,12.0,0,0.0,13
FaithfulnessEstimate,-0.07786265892194318,0.8239678767719422,-0.9999985998895956,0.9999970281204388,1.9999956280100344,0,0.0,326
Complexity,0.8057080474105304,0.5558963279054144,-1.000088900581841e-12,2.257444317663217,2.257444317664217,0,0.0,286
Faithfulness,-0.21908527647245654,0.5043642250910102,-0.9999954780707486,0.9870268411341564,1.987022319204905,0,0.0,324
Sufficiency,0.5528778906758579,0.4774975884884612,0.0,1.0,1.0,0,0.0,43
MonotonicityCorrelation,0.4557648146516788,0.24010449138955267,-0.424175755749523,0.9338235294117648,1.3579992851612879,0,0.0,248
Consistency,0.9649065975227622,0.12911130736379034,0.0158730158727639,0.9999999999756098,0.9841269841028459,0,0.0,8
Sparseness,0.8456337204140418,0.06818219941013601,0.5486908826821707,0.9373043250596698,0.38861344237749906,0,0.0,321
MonotonicityMetric,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Monotonicity,1.0,0.0,1.0,1.0,0.0,0,0.0,1
