metric,factor,H,p_value,significant_0.05
Consistency,dataset_name,431.8627926655448,1.6679618111290203e-94,True
Sparseness,dataset_name,389.0507079390558,3.301506683277756e-85,True
NonSensitivity,dataset_name,373.1293397620327,9.462226781181751e-82,True
Complexity,dataset_name,331.7091540231132,9.338398558640753e-73,True
LocalLipschitzEstimate,xai_method,328.2053355768926,5.384147064797789e-72,True
Sufficiency,dataset_name,276.1702714976466,1.0724758250493416e-60,True
RelativeInputStability,dataset_name,221.44097429418753,8.216812906507741e-49,True
RelativeOutputStability,dataset_name,158.21901642465036,4.3972090922926714e-35,True
Faithfulness,xai_method,144.82349448208845,3.5643287056156156e-32,True
MonotonicityCorrelation,xai_method,84.26789494560936,5.028739187195026e-19,True
MaxSensitivity,xai_method,64.00554693714162,1.2629090546160851e-14,True
AvgSensitivity,dataset_name,41.30020398915667,1.0759068015927016e-09,True
RelativeOutputStability,xai_method,36.91623640295552,9.632546601670695e-09,True
MaxSensitivity,dataset_name,34.34632492663309,3.4816916452614285e-08,True
LocalLipschitzEstimate,dataset_name,34.01441642423606,4.110203463706671e-08,True
Faithfulness,dataset_name,30.41197627237617,2.489563800902333e-07,True
FaithfulnessEstimate,dataset_name,22.48568475154856,1.310073299148181e-05,True
RelativeInputStability,xai_method,22.052325842920027,1.6270402122466092e-05,True
MonotonicityMetric,dataset_name,17.928971962613183,0.00012787133673881806,True
FaithfulnessEstimate,xai_method,15.044394325724552,0.0005409427199268024,True
NonSensitivity,xai_method,14.832750906640246,0.0006013247299322808,True
AvgSensitivity,xai_method,13.813398526659512,0.0010010565734332349,True
Sparseness,xai_method,10.350518945110917,0.005654749471284999,True
MonotonicityCorrelation,dataset_name,8.710642198207303,0.01283831655032606,True
Sufficiency,xai_method,7.8324720631540865,0.01991591672391274,True
Complexity,xai_method,3.9769776751826664,0.13690215059218913,False
MonotonicityMetric,xai_method,1.296516567542795,0.5229558246550088,False
Consistency,xai_method,1.1892325297427937,0.5517742604146951,False
